category,Average Sacked,Minimum Sacked,Maximum Sacked,Median Sacked
1 Sep 2022,14.6364,0,145.5909,6.5909
2 Sep 2022,38.4688,0.0313,178.75,34.4063
3 Sep 2022,12.75,0,81.9375,8.5
4 Sep 2022,2.5,1,5,1.5
5 Sep 2022,4.3,0.4,11.9,3.1
6 Sep 2022,31.2391,0.0652,171,23.4348
7 Sep 2022,54.8056,0,306.2778,44.6389
8 Sep 2022,74.0638,0.0213,414.0213,59.8085
9 Sep 2022,39.3913,0.1449,327.1449,18.2754
10 Sep 2022,90.8333,0,691.5,12.8333
11 Sep 2022,0,0,0,0
12 Sep 2022,61.1053,0,501.2632,35.6316
13 Sep 2022,63.3684,0,397.6316,42.5263
14 Sep 2022,19.0952,0,169.8095,21
15 Sep 2022,2.9091,0,43.2273,1.9545
16 Sep 2022,63.04,0,465.64,33.56
17 Sep 2022,32.9524,0,188.8571,13.7619
18 Sep 2022,11.1667,0,132.4167,19.75
19 Sep 2022,60.125,0,500.4063,21.6563
20 Sep 2022,42.7188,0,296.4375,43.0313
21 Sep 2022,18.8448,0.0172,99.8276,16.2586
22 Sep 2022,17.8148,0,82.6667,11.6296
23 Sep 2022,31.2381,0,185.2222,23.3175
24 Sep 2022,51.0741,0.037,340.037,15.7407
25 Sep 2022,1.7857,0.1071,6.8571,1.8214
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
