category,Average BytesRetrans,Minimum BytesRetrans,Maximum BytesRetrans,Median BytesRetrans
1 Sep 2022,773971.0909,11794.0909,1142208.5455,865421.5455
2 Sep 2022,744824.0313,1329.8125,1215373.9375,926455
3 Sep 2022,384359.5625,3844.375,550937.25,464416.5
4 Sep 2022,162121,20070,317106,317106
5 Sep 2022,61684.9,3584.4,154644.6,72357.6
6 Sep 2022,812577.9783,5791.913,1318181.5217,1038598.3478
7 Sep 2022,1144350,3919.5833,1824491.0278,1354750.9444
8 Sep 2022,1680165.8723,775.8723,2761730.8936,1884247.3191
9 Sep 2022,1395057.2899,5867.7681,2085109.7681,1596524.3768
10 Sep 2022,3032310,0,4157280,3270078
11 Sep 2022,0,0,0,0
12 Sep 2022,2090302.7368,0,3135032.4211,2466822.1053
13 Sep 2022,1627065.0526,0,2548124.2105,1842316.4211
14 Sep 2022,515856.0476,25.619,893068.2857,590151.7143
15 Sep 2022,18491.4091,0,55170.2727,10894.6364
16 Sep 2022,2081673.92,0,3167908,2340847.36
17 Sep 2022,759600.4762,1146.8571,1061602.8571,816584.8571
18 Sep 2022,95060.0417,3568,196518.75,86468.25
19 Sep 2022,2268323.6875,2984.6875,3511173.25,2611607.2188
20 Sep 2022,1394669.6875,2941.5625,2245714.5625,1577105.1563
21 Sep 2022,563481.9655,7859.8966,895983.2759,681681.8448
22 Sep 2022,682374.6296,5365.4815,964959.7778,766505.6296
23 Sep 2022,836057.8889,3246.5079,1326099.0794,984393.6032
24 Sep 2022,2147597.7778,7275.3704,3273137.2963,2379821.963
25 Sep 2022,129902.75,17451.2143,226303.7143,162711
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
