category,Average TotalRetrans,Minimum TotalRetrans,Maximum TotalRetrans,Median TotalRetrans
1 Sep 2022,546.3182,8.9545,807.0455,611.5909
2 Sep 2022,522.3125,1.125,852.25,649.5313
3 Sep 2022,272.5,3.125,392.9375,329.5625
4 Sep 2022,121,15,237,237
5 Sep 2022,46.2,2.7,115.6,54.2
6 Sep 2022,573.2391,4.4565,929.8696,732.6957
7 Sep 2022,803.8333,3.1111,1281.3889,951.75
8 Sep 2022,1177.1702,0.6383,1934.8511,1320.3191
9 Sep 2022,979.1449,4.4783,1463.6087,1120.9275
10 Sep 2022,2125.1667,0,2913.5,2292
11 Sep 2022,0,0,0,0
12 Sep 2022,1463.8947,0,2195.4737,1727.5789
13 Sep 2022,1139.5789,0.0526,1784.5789,1290.3684
14 Sep 2022,361.9524,0.0952,627.2381,413.7143
15 Sep 2022,13.9091,0.0455,41.2727,8.1818
16 Sep 2022,1458.12,0,2219.28,1639.76
17 Sep 2022,533.4762,0.8571,747,573.0476
18 Sep 2022,71.0417,2.6667,146.875,64.7083
19 Sep 2022,1589.875,2.3438,2461.3125,1830.4688
20 Sep 2022,979.3438,2.25,1576.9063,1107.6563
21 Sep 2022,399.2931,5.9828,635.1207,483.3966
22 Sep 2022,480.7037,4.1481,680.3333,540.2222
23 Sep 2022,589.127,2.5397,935.4444,693.3175
24 Sep 2022,1506.6296,5.5926,2296.9259,1669.7407
25 Sep 2022,97.2857,13.2143,169.3571,121.8929
26 Sep 2022,0,0,0,0
27 Sep 2022,0,0,0,0
28 Sep 2022,0,0,0,0
29 Sep 2022,0,0,0,0
30 Sep 2022,0,0,0,0
