category,Average Backoff,Minimum Backoff,Maximum Backoff,Median Backoff
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,0,0,0,0
5 Jul 2022,0,0,0,0
6 Jul 2022,0,0,0,0
7 Jul 2022,0,0,0.0141,0
8 Jul 2022,0,0,0,0
9 Jul 2022,0,0,0,0
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,0,0,0,0
14 Jul 2022,0,0,0,0
15 Jul 2022,0,0,0,0
16 Jul 2022,0,0,0,0
17 Jul 2022,0,0,0,0
18 Jul 2022,0,0,0,0
19 Jul 2022,0,0,0,0
20 Jul 2022,0,0,0,0
21 Jul 2022,0,0,0.0185,0
22 Jul 2022,0,0,0,0
23 Jul 2022,0,0,0,0
24 Jul 2022,0,0,0.0952,0.0476
25 Jul 2022,0,0,0.0123,0
26 Jul 2022,0,0,0.039,0
27 Jul 2022,0,0,0.026,0
28 Jul 2022,0.0133,0,0.0667,0.0133
29 Jul 2022,0,0,0.025,0
30 Jul 2022,0,0,0.0833,0
31 Jul 2022,0,0,0,0
