category,Average ReordSeen,Minimum ReordSeen,Maximum ReordSeen,Median ReordSeen
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,0.2222,0.1481,0.2222,0.2222
5 Jul 2022,0,0,0,0
6 Jul 2022,0,0,0,0
7 Jul 2022,0.3521,0.0986,1.0845,0.3662
8 Jul 2022,0,0,0,0
9 Jul 2022,0.3333,0.3333,0.3333,0.3333
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,0,0,0,0
14 Jul 2022,0.1875,0.1458,0.2188,0.2188
15 Jul 2022,0,0,0,0
16 Jul 2022,0,0,0,0
17 Jul 2022,0,0,0,0
18 Jul 2022,0,0,0,0
19 Jul 2022,0,0,0,0
20 Jul 2022,0,0,0,0
21 Jul 2022,0.0185,0,0.0185,0.0185
22 Jul 2022,0.4571,0.3429,0.4571,0.4571
23 Jul 2022,0,0,0,0
24 Jul 2022,0,0,0,0
25 Jul 2022,0.0123,0.0123,0.0123,0.0123
26 Jul 2022,0.013,0.013,0.013,0.013
27 Jul 2022,0,0,0,0
28 Jul 2022,0,0,0,0
29 Jul 2022,0,0,0,0
30 Jul 2022,0,0,0,0
31 Jul 2022,0,0,0,0
