category,Average SndMSS,Minimum SndMSS,Maximum SndMSS,Median SndMSS
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,1388,1388,1388,1388
5 Jul 2022,1381.7838,1381.7838,1381.7838,1381.7838
6 Jul 2022,1407,1407,1407,1407
7 Jul 2022,1396.3099,1396.3099,1396.3099,1396.3099
8 Jul 2022,1386.4615,1386.4615,1386.4615,1386.4615
9 Jul 2022,1396.8462,1396.8462,1396.8462,1396.8462
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,1397.3182,1397.3182,1397.3182,1397.3182
14 Jul 2022,1383.9375,1383.9375,1383.9375,1383.9375
15 Jul 2022,1411.3333,1411.3333,1411.3333,1411.3333
16 Jul 2022,1396.2353,1396.2353,1396.2353,1396.2353
17 Jul 2022,1338,1338,1338,1338
18 Jul 2022,1382.4156,1382.4156,1382.4156,1382.4156
19 Jul 2022,1389.9231,1389.9231,1389.9231,1389.9231
20 Jul 2022,1415.3438,1415.3438,1415.3438,1415.3438
21 Jul 2022,1403.1724,1403.1724,1403.1724,1403.1724
22 Jul 2022,1402.2857,1402.2857,1402.2857,1402.2857
23 Jul 2022,1338,1338,1338,1338
24 Jul 2022,1362.5455,1362.5455,1362.5455,1362.5455
25 Jul 2022,1369.3953,1369.3953,1369.3953,1369.3953
26 Jul 2022,1367,1367,1367,1367
27 Jul 2022,1378.5,1378.5,1378.5,1378.5
28 Jul 2022,1364.0526,1364.0526,1364.0526,1364.0526
29 Jul 2022,1362.5455,1362.5455,1362.5455,1362.5455
30 Jul 2022,1338,1338,1338,1338
31 Jul 2022,1338,1338,1338,1338
