category,Average Sacked,Minimum Sacked,Maximum Sacked,Median Sacked
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,35.1481,0,215.6296,22.2593
5 Jul 2022,47.7297,0,332.7568,43.8378
6 Jul 2022,67.2881,0,426.0678,33.6949
7 Jul 2022,56.0704,0,332.3662,51.3099
8 Jul 2022,36.6032,0,218.7778,45.1746
9 Jul 2022,48.5556,0,393.7778,2
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,58.907,0,431.3488,22.3721
14 Jul 2022,38.9583,0,297.8542,22.2813
15 Jul 2022,73.3704,0,533.1852,35.963
16 Jul 2022,61.0196,0,517.3333,17
17 Jul 2022,2,0,34.7273,3.8182
18 Jul 2022,51.2208,0,382.5195,25.9351
19 Jul 2022,51.974,0,371.1688,35.3247
20 Jul 2022,78.8281,0,445.5313,60.625
21 Jul 2022,66.4074,0,487.2778,33.7963
22 Jul 2022,59.4,0,305.7714,68.1143
23 Jul 2022,1,0,6,0
24 Jul 2022,16.0952,0.0476,71.3333,22.7619
25 Jul 2022,27,0.037,200.2593,12.6543
26 Jul 2022,37.3506,0,184.3377,45.8961
27 Jul 2022,48.4935,0,278.2078,41.3636
28 Jul 2022,41.7333,0.0267,217.4133,19.84
29 Jul 2022,25.4,0,131.675,20.05
30 Jul 2022,1.9167,0,6.1667,1.5833
31 Jul 2022,1.4375,0,5.625,1.125
