category,Average DataSegsOut,Minimum DataSegsOut,Maximum DataSegsOut,Median DataSegsOut
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,5333.4074,207.9259,10341.1852,5612.1481
5 Jul 2022,5519.8108,157.4595,10828.7297,5685.8919
6 Jul 2022,8805.3729,136.1864,17831.0169,9263.7119
7 Jul 2022,6825.4085,186.8451,13575.6761,7118.2254
8 Jul 2022,4882.2222,141.746,10100.4286,5133.254
9 Jul 2022,7343.3333,91.5185,14181.6667,7644.1852
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,11141.8605,188.3488,22620.7674,11658.186
14 Jul 2022,9239.5104,221.8438,19268.6042,9529.0521
15 Jul 2022,9952.6296,77.7037,20685.037,10325.8148
16 Jul 2022,10543.8039,151.6863,21459.1373,10861.3922
17 Jul 2022,5716.9091,298.2727,12537.1818,5444.7273
18 Jul 2022,8803.3636,171.3896,18173.7143,9155.1169
19 Jul 2022,8108.9091,133.4675,17023.3247,8348.8571
20 Jul 2022,8675.2344,104.3906,17903.0781,8932.0156
21 Jul 2022,8421.7593,95.6296,17182.7037,8884.6852
22 Jul 2022,7133.6857,144.2,14738.3143,7389.6571
23 Jul 2022,759,323,1362,706
24 Jul 2022,1710.619,168.3333,3802.9048,1658.7619
25 Jul 2022,3796.1605,167.6667,7884.5926,4027.2099
26 Jul 2022,3364.2468,152.6753,6911.6623,3532.987
27 Jul 2022,5706.0519,119.987,11362.4935,6082.8052
28 Jul 2022,4031.7467,185.0133,7775.88,4329.84
29 Jul 2022,2455.45,198.025,5023.65,2621.65
30 Jul 2022,631.25,159.6667,1056.5,718.5833
31 Jul 2022,534.0625,134.375,977.8125,570.1875
