category,Average SegsIn,Minimum SegsIn,Maximum SegsIn,Median SegsIn
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,1114.2963,74.7407,2045.1481,1163.3333
5 Jul 2022,1518.4595,54.8649,2657.7568,1628.5676
6 Jul 2022,1818.7667,43.4333,3230.9167,1962.2333
7 Jul 2022,1384.9859,55.0141,2580.2535,1443.4648
8 Jul 2022,764.3077,45.8308,1330.5077,801.4769
9 Jul 2022,2500.8462,69.3077,4721.9615,2648.8846
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,1521.3636,58.6591,2680.4545,1607.3864
14 Jul 2022,2695.8229,90.1667,4959.1875,2832.9896
15 Jul 2022,2024.2963,27.2593,4095.8889,1976.8889
16 Jul 2022,4677.0784,147.2745,8780.9608,4920.2157
17 Jul 2022,4497.5455,122.2727,8326.1818,4712.2727
18 Jul 2022,1212.1818,46.7922,2186.7273,1268.4675
19 Jul 2022,1318.5641,40.1795,2483.141,1370.6795
20 Jul 2022,1916.1875,41.2656,3538.2188,2012.1875
21 Jul 2022,1442.6379,66.6207,2569.3793,1508.8103
22 Jul 2022,1558.7143,61.9429,2818.7143,1638.1143
23 Jul 2022,792,329,1215,809
24 Jul 2022,1242.0455,81.7273,1985.3636,1334.9091
25 Jul 2022,842.3721,78.6279,1372.186,900.3605
26 Jul 2022,694.1111,71.8889,1169.5556,722.1222
27 Jul 2022,1499.575,65.7375,2733.1125,1582.4625
28 Jul 2022,729.9079,100.8553,1163.3947,772.6316
29 Jul 2022,324.0909,50.3409,562.5227,331.5909
30 Jul 2022,672.4118,110.1765,1110.6471,676.0588
31 Jul 2022,756.8421,182,1199.6316,776.7368
