category,Average DeliveryRate,Minimum DeliveryRate,Maximum DeliveryRate,Median DeliveryRate
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,111384.4815,91366.7778,118291.5556,111691.8148
5 Jul 2022,114230.5405,90108.8919,126995.4595,111537.8919
6 Jul 2022,74437.75,55078.15,83765.5833,76322.8667
7 Jul 2022,89493.7183,69349.8592,97475.8451,91202.0845
8 Jul 2022,95192.6154,74268.0923,103441.4462,95809.8308
9 Jul 2022,88671.5769,74903,94016.6923,89772.1538
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,95473.3636,84414.6136,101084.5909,96921.9091
14 Jul 2022,123114,111015.7188,130087.125,123875.1563
15 Jul 2022,67650.4444,56965.5926,72731.5556,67624.7407
16 Jul 2022,89925.8431,80401.1961,94061.0196,91525.451
17 Jul 2022,164185.4545,132586.2727,172057.5455,167631.9091
18 Jul 2022,93107.7273,78456.2987,99435.8182,94015.7792
19 Jul 2022,91180.9103,74635.0513,100188.7179,92519.2436
20 Jul 2022,66641.5313,54816.6719,71792.6094,68082.9688
21 Jul 2022,67655.6724,44527.9655,82309.1552,69279.6034
22 Jul 2022,98021.9143,84938.4286,103637.4,99582.9429
23 Jul 2022,211132,211132,211132,211132
24 Jul 2022,103158.8182,61368.2727,130636.1818,103640
25 Jul 2022,125202.5814,100732.6279,139128.3256,123297.6977
26 Jul 2022,115747.5111,64508.6111,143987.7889,120738.6
27 Jul 2022,109476.325,68138.6,128294.125,110681.15
28 Jul 2022,115386.6316,68028.8289,138489.4605,118503.0526
29 Jul 2022,130320.6591,85152.6818,150255.1136,130286.8182
30 Jul 2022,110154.5294,49488.2353,157161.6471,100940.8235
31 Jul 2022,154104.6842,79206.8947,192689.1053,140039.0526
