category,Average DsackDups,Minimum DsackDups,Maximum DsackDups,Median DsackDups
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,0.5185,0.037,1.6296,0.4444
5 Jul 2022,0.6486,0,1.2432,0.7838
6 Jul 2022,0.5593,0.0678,1.0169,0.6441
7 Jul 2022,1.4507,0.0282,7.7042,0.5211
8 Jul 2022,1.2857,0.0317,2.5079,1.6508
9 Jul 2022,0,0,0,0
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,1.7209,0.0233,3,2.5581
14 Jul 2022,0.1563,0,0.2604,0.2604
15 Jul 2022,0.1111,0,0.1481,0.1481
16 Jul 2022,0,0,0,0
17 Jul 2022,0,0,0,0
18 Jul 2022,0.5325,0.0649,1.1169,0.4675
19 Jul 2022,0.6104,0.0909,1.1039,0.5584
20 Jul 2022,0.6875,0.0781,1.4219,0.7344
21 Jul 2022,2.4444,0.0741,5.4259,1.3704
22 Jul 2022,0.0857,0.0571,0.1143,0.0857
23 Jul 2022,0,0,0,0
24 Jul 2022,0.381,0.0952,4.0952,0.0952
25 Jul 2022,0.1852,0.0123,0.4321,0.1235
26 Jul 2022,1.2208,0.0519,2.7143,1.3636
27 Jul 2022,0.3377,0.026,0.7662,0.1039
28 Jul 2022,0.3467,0.0267,0.4667,0.4267
29 Jul 2022,2.85,0.025,5.025,4.125
30 Jul 2022,0,0,0,0
31 Jul 2022,0,0,0,0
