category,Average SegsIn,Minimum SegsIn,Maximum SegsIn,Median SegsIn
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,2284.8889,76.6296,4766.5185,2342.5926
5 Jul 2022,2459.4865,61.1622,5205.3784,2458.2162
6 Jul 2022,3772.4237,50.0678,8173.1864,3858.1525
7 Jul 2022,3066.4789,71.9859,6488.2113,3128.5915
8 Jul 2022,2094.3492,57.6349,4563.0794,2146.9683
9 Jul 2022,3436.3704,44.1111,6980.7778,3514.6296
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,4196.1628,73.3023,8834.4884,4295.3256
14 Jul 2022,3588.2708,89.5417,7711.3854,3655.2708
15 Jul 2022,4753.8148,34.5556,10386.8519,4907.1481
16 Jul 2022,4349.6471,62.1765,9290.0784,4384.4902
17 Jul 2022,2251.4545,152.0909,4839.1818,2155.7273
18 Jul 2022,3467.9221,70.2208,7449.4935,3589.1948
19 Jul 2022,3369.4026,60.1429,7481.1039,3399.039
20 Jul 2022,3675.5625,39.2031,8159.2188,3628.2656
21 Jul 2022,3523.7778,38.5185,7619.6111,3598.6111
22 Jul 2022,3759.4286,56.2,8185.8857,3860.2
23 Jul 2022,404,163,732,382
24 Jul 2022,715.2381,69.1905,1538.381,733.381
25 Jul 2022,1739.6543,64.2222,3763.1605,1829.7654
26 Jul 2022,1527.1558,57.5584,3295.1299,1592.8571
27 Jul 2022,2472.6494,47.4286,5255.4935,2567.3506
28 Jul 2022,1725.8133,70.5733,3581.7867,1826.48
29 Jul 2022,1264.375,76.2,2736.45,1344.2
30 Jul 2022,372.9167,84.5833,623.9167,432.4167
31 Jul 2022,276.375,61.1875,526.375,295.125
