category,Average RWndLimited,Minimum RWndLimited,Maximum RWndLimited,Median RWndLimited
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,173762.5185,0,282666.6667,225407.4074
5 Jul 2022,125352.1622,0,252432.4324,136270.2703
6 Jul 2022,200455.8983,0,309288.1356,242677.9661
7 Jul 2022,134560.3099,788.7324,209295.7746,166197.1831
8 Jul 2022,85227.6349,0,147809.5238,104507.9365
9 Jul 2022,14204.6296,0,16888.8889,16888.8889
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,154850.3721,0,226325.5814,192511.6279
14 Jul 2022,68036.8854,0,104625,83333.3333
15 Jul 2022,177963.7778,3555.5556,275555.5556,205185.1852
16 Jul 2022,161243.5882,0,215764.7059,197647.0588
17 Jul 2022,0,0,0,0
18 Jul 2022,152555.4156,0,204727.2727,192311.6883
19 Jul 2022,144229.7143,0,200051.9481,181922.0779
20 Jul 2022,208163.5781,0,355312.5,252343.75
21 Jul 2022,223341.5185,0,367259.2593,274370.3704
22 Jul 2022,111150.9143,0,132228.5714,132228.5714
23 Jul 2022,0,0,0,0
24 Jul 2022,21677.619,0,28952.381,26380.9524
25 Jul 2022,64971.0741,1580.2469,127308.642,79012.3457
26 Jul 2022,84702.0519,103.8961,140363.6364,99948.0519
27 Jul 2022,105028.0779,311.6883,145714.2857,134545.4545
28 Jul 2022,83982.88,1013.3333,105760,102506.6667
29 Jul 2022,69056.2,100,106500,85400
30 Jul 2022,0,0,0,0
31 Jul 2022,0,0,0,0
