category,Average TotalRetrans,Minimum TotalRetrans,Maximum TotalRetrans,Median TotalRetrans
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,0.7037,0.2222,1.3704,0.7778
5 Jul 2022,1.1081,0.2432,2.2162,1.0811
6 Jul 2022,1.1333,0.4,1.8167,1.1667
7 Jul 2022,0.8732,0.3803,1.493,0.831
8 Jul 2022,1.4769,0.4615,2.3385,1.4923
9 Jul 2022,1.3846,0.1538,1.6923,1.6154
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,0.3864,0.0682,0.6136,0.4545
14 Jul 2022,0.2604,0,0.4688,0.2917
15 Jul 2022,1,0.037,1.7037,1.2222
16 Jul 2022,0.4902,0.0392,0.7451,0.549
17 Jul 2022,2.1818,0,3.1818,2.2727
18 Jul 2022,1.0519,0.1039,1.4675,1.1299
19 Jul 2022,1.0769,0.1538,1.7308,1.1154
20 Jul 2022,0.4844,0.1406,0.75,0.4844
21 Jul 2022,2.7414,0.8103,4.8793,2.8103
22 Jul 2022,0.9429,0.2571,1.4,1.0857
23 Jul 2022,2,0,2,2
24 Jul 2022,4.5455,1.5,7.4091,5.0455
25 Jul 2022,2.2907,0.5233,4.0698,2.3372
26 Jul 2022,5.6222,1.4,10.0444,5.5778
27 Jul 2022,2.725,0.8125,4.575,2.5875
28 Jul 2022,3.5658,1.1711,6.5789,3.5132
29 Jul 2022,2.7045,0.5,5.0227,2.75
30 Jul 2022,10,2.2353,15.7647,10.5882
31 Jul 2022,5.7368,1.1053,11.6842,5.6316
