category,Average Unacked,Minimum Unacked,Maximum Unacked,Median Unacked
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,0.7778,0.037,3.8148,1.2963
5 Jul 2022,0.6486,0,3.5946,0.8378
6 Jul 2022,0.8833,0,4.2833,0.7667
7 Jul 2022,0.9577,0.0141,4.1127,0.9577
8 Jul 2022,0.7538,0,4.0462,0.8154
9 Jul 2022,0.6538,0,3.5385,1
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,0.8182,0,4.1818,1.0909
14 Jul 2022,0.4896,0,3.1042,0.5417
15 Jul 2022,0.9259,0,4.2593,0.5926
16 Jul 2022,0.8235,0,3.8824,0.8627
17 Jul 2022,0.7273,0,5.3636,0.4545
18 Jul 2022,0.9351,0,4.5065,0.8312
19 Jul 2022,0.859,0,4.5256,0.641
20 Jul 2022,1.2656,0,5.0156,1.2031
21 Jul 2022,0.9828,0,4.3103,0.7931
22 Jul 2022,0.8571,0,4.1429,1.1429
23 Jul 2022,0,0,4,0
24 Jul 2022,0.8636,0,4.1818,1.7727
25 Jul 2022,0.5581,0,3.6047,0.9535
26 Jul 2022,0.8444,0,4.2333,1
27 Jul 2022,0.6,0,3.7625,0.625
28 Jul 2022,0.5,0,3.3158,0.6316
29 Jul 2022,0.5455,0,3.6818,0.6818
30 Jul 2022,0.9412,0,4.0588,1.2941
31 Jul 2022,0.5263,0,3.2632,0.7368
