category,Average RTO,Minimum RTO,Maximum RTO,Median RTO
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,458773.5556,332740.7407,677629.6296,555111.1111
5 Jul 2022,322708.2432,270918.9189,504972.973,346594.5946
6 Jul 2022,358531.9322,300949.1525,511864.4068,355118.6441
7 Jul 2022,398729.8028,295661.9718,669802.8169,356000
8 Jul 2022,432377.2222,299746.0317,807873.0159,497079.3651
9 Jul 2022,376615.0741,313037.037,478370.3704,372370.3704
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,362462.7674,287627.907,616279.0698,359488.3721
14 Jul 2022,314264.1354,268750,409750,317875
15 Jul 2022,309913.3333,291259.2593,372740.7407,304666.6667
16 Jul 2022,302269.0392,279058.8235,381725.4902,295607.8431
17 Jul 2022,276723.1818,235272.7273,368727.2727,282000
18 Jul 2022,317223.1558,270545.4545,481974.026,302961.039
19 Jul 2022,313878.961,276519.4805,464571.4286,304103.8961
20 Jul 2022,378070.0625,303437.5,602562.5,368812.5
21 Jul 2022,340739.2037,288148.1481,519703.7037,318222.2222
22 Jul 2022,332094.4857,276914.2857,466628.5714,315657.1429
23 Jul 2022,251333,236000,276000,244000
24 Jul 2022,386721.9524,256380.9524,920190.4762,326761.9048
25 Jul 2022,312427.2346,259259.2593,441333.3333,311111.1111
26 Jul 2022,312642.5844,258857.1429,465038.961,296753.2468
27 Jul 2022,283364.9091,260000,392779.2208,272597.4026
28 Jul 2022,261009.4933,247413.3333,302986.6667,254586.6667
29 Jul 2022,299169.575,252500,399100,274100
30 Jul 2022,241990.3333,230333.3333,274000,240000
31 Jul 2022,231069.3125,222750,240750,231500
