category,Average ReordSeen,Minimum ReordSeen,Maximum ReordSeen,Median ReordSeen
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,0.037,0.037,0.037,0.037
5 Jul 2022,0,0,0,0
6 Jul 2022,0,0,0.0167,0
7 Jul 2022,0.0704,0.0423,0.0845,0.0704
8 Jul 2022,0,0,0,0
9 Jul 2022,0.1154,0.1154,0.1154,0.1154
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,0,0,0,0
14 Jul 2022,0.0833,0.0833,0.0833,0.0833
15 Jul 2022,0.037,0,0.037,0.037
16 Jul 2022,0,0,0,0
17 Jul 2022,0,0,0,0
18 Jul 2022,0,0,0,0
19 Jul 2022,0,0,0,0
20 Jul 2022,0,0,0.0156,0
21 Jul 2022,0.0345,0.0172,0.0517,0.0345
22 Jul 2022,0.1429,0.1429,0.1429,0.1429
23 Jul 2022,0,0,0,0
24 Jul 2022,0,0,0.0455,0
25 Jul 2022,0.0116,0,0.0116,0.0116
26 Jul 2022,0.0111,0,0.0444,0.0111
27 Jul 2022,0.0125,0,0.0125,0.0125
28 Jul 2022,0,0,0,0
29 Jul 2022,0,0,0,0
30 Jul 2022,0,0,0,0
31 Jul 2022,0,0,0,0
