category,Average BytesRetrans,Minimum BytesRetrans,Maximum BytesRetrans,Median BytesRetrans
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,1209418.8148,8821.2222,1809777.8889,1399273.7407
5 Jul 2022,1353458.4865,8020.973,2036313.027,1515273.7027
6 Jul 2022,2037860.4746,2507.7627,3104216.8475,2389138.4068
7 Jul 2022,1554856.7183,7905.2676,2357005.2958,1765860.8028
8 Jul 2022,965807.4444,6445.4127,1535952.3333,1146913.0952
9 Jul 2022,1991408.2222,363.5556,2867588.2963,2227550.963
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,1809627.5349,39.4651,2752915.3256,2120507.1395
14 Jul 2022,1275141.0625,74.375,1915123.4896,1471999.8854
15 Jul 2022,2138386.2963,846.2222,3392752.3704,2435456.5926
16 Jul 2022,2002235.1765,52.4706,2994317.4902,2275841.549
17 Jul 2022,16935.9091,0,35882.7273,14170.6364
18 Jul 2022,1474534.974,107.8571,2265256.7403,1745772.4156
19 Jul 2022,1608467.026,2634.7403,2571548.5844,1915923.4026
20 Jul 2022,2092651.9219,2637.2813,3368322.9688,2462190.3906
21 Jul 2022,2016006.7222,1142.2778,3244123.2037,2331687.5926
22 Jul 2022,1566656.6571,4986.4857,2561496.6571,1795562.8
23 Jul 2022,148964,0,283656,184644
24 Jul 2022,266879,16630.2857,509070.1905,298869.2381
25 Jul 2022,770748.3951,9709.9506,1269834.321,889867.8642
26 Jul 2022,798486.9221,11125.6234,1371163.2338,890458.3636
27 Jul 2022,1450088.5714,7673.8442,2249602.4416,1694210.2208
28 Jul 2022,1044307.8,12195.28,1580034.3333,1227359.6533
29 Jul 2022,558488.425,15755.775,955050.325,692691.675
30 Jul 2022,149501.4167,9498.9167,232275.9167,182435.4167
31 Jul 2022,132024.5,9431.8125,230034.5625,161043.9375
