category,Average SegsOut,Minimum SegsOut,Maximum SegsOut,Median SegsOut
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,693.0741,61.8148,1225.6667,723.7778
5 Jul 2022,915.4054,46.4324,1549.4324,975.3784
6 Jul 2022,1063.4333,38.15,1827.4333,1142.4333
7 Jul 2022,820.4366,46.3662,1481.662,854.9437
8 Jul 2022,507.2615,39.4,861.1077,533.1077
9 Jul 2022,1396.6154,54.4231,2569.3462,1477.6538
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,888.3182,48.4318,1525.75,936.1136
14 Jul 2022,1473.5313,75.7188,2650.9896,1543.3854
15 Jul 2022,932.8519,21.5926,1801.6667,927.7037
16 Jul 2022,1974.6078,100.9216,3566.6863,2073.8824
17 Jul 2022,1945.5455,74.3636,3580.7273,2033.3636
18 Jul 2022,634.5714,36.5714,1075.8961,667.5065
19 Jul 2022,629.2051,31.4103,1131.3333,656.5897
20 Jul 2022,865.0469,33.6875,1517.7656,909.7656
21 Jul 2022,695.7414,52.3793,1194.1207,725.7069
22 Jul 2022,742.8286,45.6571,1291.1429,776.4857
23 Jul 2022,605,232,881,645
24 Jul 2022,630.4091,56.7727,989.5,665.8182
25 Jul 2022,485.4419,57.9186,787.5233,513.5698
26 Jul 2022,458.2889,56.8,763.7333,477.9444
27 Jul 2022,879.4125,56.0625,1552.65,927.15
28 Jul 2022,497.3816,81.6579,786.3947,524.3421
29 Jul 2022,238.7273,37.0909,412.0455,246.9773
30 Jul 2022,433.7647,75.8235,709.8235,441.3529
31 Jul 2022,496.4737,125.3684,775.7895,512.4737
