category,Average Retrans,Minimum Retrans,Maximum Retrans,Median Retrans
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,0,0,0.1481,0.037
5 Jul 2022,0.0541,0,0.1351,0.027
6 Jul 2022,0,0,0.0833,0.0167
7 Jul 2022,0,0,0.1408,0.0141
8 Jul 2022,0,0,0.1692,0.0462
9 Jul 2022,0,0,0.2308,0
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,0,0,0,0
14 Jul 2022,0,0,0.0104,0
15 Jul 2022,0,0,0.1852,0.037
16 Jul 2022,0,0,0.0392,0.0196
17 Jul 2022,0,0,0,0
18 Jul 2022,0,0,0.039,0
19 Jul 2022,0.0128,0,0.1154,0
20 Jul 2022,0,0,0.0625,0.0156
21 Jul 2022,0.0172,0,0.2759,0.0517
22 Jul 2022,0,0,0.1143,0.0286
23 Jul 2022,0,0,0,0
24 Jul 2022,0,0,0.3636,0.0909
25 Jul 2022,0.0233,0,0.2093,0.0465
26 Jul 2022,0.0778,0,0.6333,0.1667
27 Jul 2022,0.0125,0,0.375,0.05
28 Jul 2022,0.0395,0,0.3816,0.0526
29 Jul 2022,0.0682,0,0.3182,0.0682
30 Jul 2022,0.1765,0,0.7059,0.1765
31 Jul 2022,0.1053,0,0.7895,0.1579
