category,Average DsackDups,Minimum DsackDups,Maximum DsackDups,Median DsackDups
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,0.3333,0,0.5926,0.3333
5 Jul 2022,0.2162,0,0.2973,0.2432
6 Jul 2022,0.2,0.0667,0.2833,0.2
7 Jul 2022,0.2958,0.0563,0.338,0.2958
8 Jul 2022,0.4769,0.0308,0.5846,0.4769
9 Jul 2022,0.9615,0,1.1923,1.1538
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,0.3864,0.0227,0.6136,0.4773
14 Jul 2022,0.1771,0,0.3125,0.1771
15 Jul 2022,1.037,0.037,1.6667,1.2593
16 Jul 2022,0.451,0,0.6078,0.549
17 Jul 2022,2.4545,0,3.8182,2.7273
18 Jul 2022,1.1039,0.0909,1.4935,1.2208
19 Jul 2022,0.8974,0.1026,1.3077,1.0256
20 Jul 2022,0.3125,0.0625,0.4844,0.2969
21 Jul 2022,0.2759,0.0862,0.4655,0.2586
22 Jul 2022,0.1714,0.0286,0.2571,0.1714
23 Jul 2022,2,0,2,2
24 Jul 2022,0.6364,0.0455,0.8636,0.7727
25 Jul 2022,0.4535,0.0116,0.5581,0.4767
26 Jul 2022,0.4222,0.0333,0.7,0.4556
27 Jul 2022,0.175,0,0.2625,0.1875
28 Jul 2022,0.1974,0.0263,0.3816,0.2237
29 Jul 2022,0.6136,0.0227,0.9545,0.6136
30 Jul 2022,0.6471,0,0.8824,0.6471
31 Jul 2022,0.4211,0,0.4211,0.4211
