category,Average SegsOut,Minimum SegsOut,Maximum SegsOut,Median SegsOut
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,5338.8889,211.037,10349.2963,5617.7778
5 Jul 2022,5526.1622,160.6216,10838,5692.4324
6 Jul 2022,8812.6271,139.2712,17841.8305,9271.5085
7 Jul 2022,6831.8732,189.9859,13585.1972,7125.1127
8 Jul 2022,4888.0635,144.8571,10109.0794,5139.4762
9 Jul 2022,7350.0741,94.5926,14191.5926,7651.3704
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,11150.1163,191.3953,22633.3721,11667.0233
14 Jul 2022,9248.6979,225,19283.6563,9538.7604
15 Jul 2022,9960.4074,80.7407,20696.7037,10334.2222
16 Jul 2022,10552.3922,154.8039,21472.4314,10870.4118
17 Jul 2022,5725.3636,301.2727,12550.9091,5453.7273
18 Jul 2022,8812.2987,174.5455,18188.013,9164.8182
19 Jul 2022,8116.6494,136.6494,17034.9091,8357.1558
20 Jul 2022,8681.7031,107.4375,17912.0156,8939.0625
21 Jul 2022,8428.4815,98.6481,17192.6852,8892.1111
22 Jul 2022,7141.2571,147.2571,14750.1143,7397.6571
23 Jul 2022,763,326,1367,710
24 Jul 2022,1714.7143,171.3333,3808.5238,1663.0952
25 Jul 2022,3801.7901,170.7654,7892.6914,4033.0864
26 Jul 2022,3369.7143,155.8312,6919.1039,3538.8182
27 Jul 2022,5711.961,123.2468,11370.9221,6089.1948
28 Jul 2022,4036.9067,188.16,7782.6667,4335.4667
29 Jul 2022,2460.3,201.25,5029.95,2626.75
30 Jul 2022,635.8333,162.9167,1062.25,723.4167
31 Jul 2022,538.3125,137.5625,983.125,574.875
