category,Average PMTU,Minimum PMTU,Maximum PMTU,Median PMTU
1 Jul 2022,0,0,0,0
2 Jul 2022,0,0,0,0
3 Jul 2022,0,0,0,0
4 Jul 2022,778226.1852,164263.8519,868783.1111,868739.2593
5 Jul 2022,986970.1892,138896.6486,1104798.3784,1066459.7838
6 Jul 2022,1171363.1333,123867.5333,1288354.8667,1270484.0667
7 Jul 2022,881986.5634,133880.2817,988851.3803,974670.8732
8 Jul 2022,587300.1846,121484.4923,680488.4923,645935.5077
9 Jul 2022,1114690.8077,149274.7692,1288862.4615,1287824.9231
10 Jul 2022,0,0,0,0
11 Jul 2022,0,0,0,0
12 Jul 2022,0,0,0,0
13 Jul 2022,1046770.7727,142194.6364,1166057.7273,1128135.0909
14 Jul 2022,1226500.4167,215447.375,1325225.0833,1316459.8333
15 Jul 2022,995672.6296,82660.5926,1225455.5556,1027370.963
16 Jul 2022,1630445.7843,249491.0588,1931582.7451,1817173.9608
17 Jul 2022,834632.5455,180122.1818,1337957.8182,770682.7273
18 Jul 2022,920792.4416,116572.5714,1042344,1010262.987
19 Jul 2022,737687.3974,99452.8718,824803.1795,816523.8462
20 Jul 2022,1005453.1563,116519.4375,1154931.4375,1098654.75
21 Jul 2022,934875.2414,159692.8966,1030134.4138,1023449.3793
22 Jul 2022,963349.9714,135996.8,1058880.3429,1057960
23 Jul 2022,758280,679564,762412,762412
24 Jul 2022,699041.7273,150656.3636,794745.2727,730663.8182
25 Jul 2022,633809.1977,151677.3023,706650.3256,685653.2558
26 Jul 2022,466181.6444,132647.7778,510028.8889,501088.9333
27 Jul 2022,955986.85,153070.45,1065752.85,1056161.55
28 Jul 2022,579800.0263,195075.0526,641623.3158,613743.5789
29 Jul 2022,311344.9773,96775.9091,363429.8182,343229.4545
30 Jul 2022,419877.2941,163347.0588,470789.8824,441037.6471
31 Jul 2022,382015.9474,272625.8947,389569.0526,389569.0526
