category,Average DataSegsIn,Minimum DataSegsIn,Maximum DataSegsIn,Median DataSegsIn
1 Oct 2021,10.4098,3.0082,19.0574,10.623
2 Oct 2021,0,0,0,0
3 Oct 2021,10,3,18,11
4 Oct 2021,10.7222,3,19.8889,11.2222
5 Oct 2021,10.4271,3.0347,19.2431,10.7153
6 Oct 2021,10.2397,3.0041,18.8471,10.5041
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,11.6667,3,21,11.6667
12 Oct 2021,12,3.0339,21.9153,12.5763
13 Oct 2021,8.625,3,15.5,8.625
14 Oct 2021,10.403,3.0299,19.194,10.7015
15 Oct 2021,12,3,22,12
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,8.5,3,15.25,9
20 Oct 2021,9.7667,3,18.0833,10.05
21 Oct 2021,0,0,0,0
22 Oct 2021,8.1667,3,14.8333,8.5
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,11,3,20.3333,11
26 Oct 2021,9.4444,3.0139,17.1389,9.5417
27 Oct 2021,10,3.0488,18.2683,10.4024
28 Oct 2021,8.6744,3,15.5581,8.8837
29 Oct 2021,8.8696,3.0217,16.087,9.0652
30 Oct 2021,10,3.0435,18.4783,10.6522
31 Oct 2021,11.5,3,21.0455,12.0455
