category,Average Delivered,Minimum Delivered,Maximum Delivered,Median Delivered
1 Oct 2021,50.459,5.9672,94.6557,51.6557
2 Oct 2021,0,0,0,0
3 Oct 2021,41,2,77,43
4 Oct 2021,50,6,93.5625,51
5 Oct 2021,49.6329,6.0035,93.1224,50.7483
6 Oct 2021,49.9793,5.9711,94.0661,50.9793
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,54,6,102,56.6667
12 Oct 2021,50,6,93.3103,51.3103
13 Oct 2021,43.1429,3.2857,82.8571,44
14 Oct 2021,50.2687,5.9552,94.3134,51.2239
15 Oct 2021,50,6,93,50
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,48.25,3,96.25,50.25
20 Oct 2021,48.8833,6.0333,91.6167,50.1167
21 Oct 2021,0,0,0,0
22 Oct 2021,47.1667,2.8333,91.1667,48
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,45,3,87,46
26 Oct 2021,50.0822,5.8356,94.3973,51.0411
27 Oct 2021,48.1625,5.5125,91.0125,48.775
28 Oct 2021,46.3415,5.0732,87.5854,47.3902
29 Oct 2021,44.1818,4.8409,84.1591,45.1818
30 Oct 2021,47.3913,5.6957,89.087,49
31 Oct 2021,50.1905,5.7619,94.2381,50.9048
