category,Average TotalRetrans,Minimum TotalRetrans,Maximum TotalRetrans,Median TotalRetrans
1 Oct 2021,4.6393,0.3197,8.8852,4.7295
2 Oct 2021,0,0,0,0
3 Oct 2021,0,0,0,0
4 Oct 2021,2.0625,0.25,4.5,2.125
5 Oct 2021,1.8462,0.1259,3.5629,1.8566
6 Oct 2021,2.3967,0.157,4.6736,2.4711
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,3.6667,1.3333,6.3333,4
12 Oct 2021,2.2586,0,4.2931,2.4483
13 Oct 2021,4.5714,0.2857,9,5
14 Oct 2021,1.5522,0.0299,2.8358,1.6119
15 Oct 2021,1,0,1,1
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,3.5,0,5,3.75
20 Oct 2021,0.5167,0.0333,0.8833,0.6
21 Oct 2021,0,0,0,0
22 Oct 2021,2.1667,0.3333,3.5,2
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,0.5,0,1,0.5
26 Oct 2021,1.5342,0.0411,3.0959,1.5753
27 Oct 2021,2.7,0.2,5.325,2.8
28 Oct 2021,2.439,0.2195,4.4634,2.439
29 Oct 2021,1.0455,0.2727,1.4545,1.1136
30 Oct 2021,0.7826,0,1.2174,0.8696
31 Oct 2021,0.381,0.0476,0.5714,0.381
