category,Average Lost,Minimum Lost,Maximum Lost,Median Lost
1 Oct 2021,0,0,0.2951,0
2 Oct 2021,0,0,0,0
3 Oct 2021,0,0,0,0
4 Oct 2021,0,0,0.125,0
5 Oct 2021,0,0,0.1154,0.007
6 Oct 2021,0,0,0.1033,0.0124
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,0,0,0,0
12 Oct 2021,0,0,0.1207,0
13 Oct 2021,0,0,0.5714,0
14 Oct 2021,0,0,0.0299,0
15 Oct 2021,0,0,0,0
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,0,0,0.25,0
20 Oct 2021,0,0,0,0
21 Oct 2021,0,0,0,0
22 Oct 2021,0,0,0.1667,0
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,0,0,0,0
26 Oct 2021,0,0,0.1233,0.0411
27 Oct 2021,0.025,0,0.3625,0.125
28 Oct 2021,0,0,0.1463,0
29 Oct 2021,0,0,0.1364,0
30 Oct 2021,0,0,0.0435,0.0435
31 Oct 2021,0,0,0.0476,0
