category,Average RcvMSS,Minimum RcvMSS,Maximum RcvMSS,Median RcvMSS
1 Oct 2021,536.8443,536.8443,536.8443,536.8443
2 Oct 2021,0,0,0,0
3 Oct 2021,604,604,604,604
4 Oct 2021,536,536,536,536
5 Oct 2021,536,536,536,536
6 Oct 2021,536.281,536.281,536.281,536.281
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,536,536,536,536
12 Oct 2021,536,536,536,536
13 Oct 2021,642.5,642.5,642.5,642.5
14 Oct 2021,537.5373,537.5373,537.5373,537.5373
15 Oct 2021,536,536,536,536
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,637,637,637,637
20 Oct 2021,536,536,536,536
21 Oct 2021,0,0,0,0
22 Oct 2021,611.8333,611.8333,611.8333,611.8333
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,640.6667,640.6667,640.6667,640.6667
26 Oct 2021,539.4444,539.4444,539.4444,539.4444
27 Oct 2021,550.2683,550.2683,550.2683,550.2683
28 Oct 2021,570.2093,570.2093,570.2093,570.2093
29 Oct 2021,564.6957,564.6957,564.6957,564.6957
30 Oct 2021,540.4783,540.4783,540.4783,540.4783
31 Oct 2021,550.0455,550.0455,550.0455,550.0455
