category,Average ATO,Minimum ATO,Maximum ATO,Median ATO
1 Oct 2021,40011.4016,40000,40131.1475,40000
2 Oct 2021,0,0,0,0
3 Oct 2021,40000,40000,40000,40000
4 Oct 2021,40000,40000,40000,40000
5 Oct 2021,40008.2604,40000,40069.4444,40000
6 Oct 2021,40000,40000,40000,40000
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,40000,40000,40000,40000
12 Oct 2021,40027.1186,40000,40271.1864,40000
13 Oct 2021,40000,40000,40000,40000
14 Oct 2021,40000,40000,40000,40000
15 Oct 2021,40000,40000,40000,40000
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,40000,40000,40000,40000
20 Oct 2021,40000,40000,40000,40000
21 Oct 2021,0,0,0,0
22 Oct 2021,40000,40000,40000,40000
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,40066.6667,40000,41333.3333,40000
26 Oct 2021,40000,40000,40000,40000
27 Oct 2021,40000,40000,40000,40000
28 Oct 2021,40011.6279,40000,40186.0465,40000
29 Oct 2021,40134.7826,40000,40608.6957,40000
30 Oct 2021,40027.4783,40000,40173.913,40173.913
31 Oct 2021,40000,40000,40000,40000
