category,Average SegsOut,Minimum SegsOut,Maximum SegsOut,Median SegsOut
1 Oct 2021,1057.2541,125.0984,1852.2705,1080.4098
2 Oct 2021,0,0,0,0
3 Oct 2021,573,5,1095,578
4 Oct 2021,1877.25,201.625,3265.6875,1860.9375
5 Oct 2021,1863.993,198.6573,3282.3706,1911.4545
6 Oct 2021,1710.7851,228.876,2998.1942,1754.1653
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,1706.3333,181.3333,3037.3333,1833
12 Oct 2021,1555.5,254.8448,2636.1207,1605.8103
13 Oct 2021,1326.2857,185.5714,2170.2857,1395.1429
14 Oct 2021,1866.7463,304.5075,3279.6716,1923.4328
15 Oct 2021,2345,559,4019,2418
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,1888.5,301.5,3311.5,1971.25
20 Oct 2021,2022.6833,274.6833,3543.6833,2075.9333
21 Oct 2021,0,0,0,0
22 Oct 2021,1765.6667,150.1667,3240.5,1820.8333
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,223.5,34.5,400,225.5
26 Oct 2021,1895.7397,231.589,3231.8082,1967.1233
27 Oct 2021,1017.45,122.0875,1809.225,1039.325
28 Oct 2021,1136.1463,206.8537,1963.4878,1164.4634
29 Oct 2021,315.4545,38.1364,545.4545,326.5909
30 Oct 2021,413.1739,34.8261,749.913,426.6522
31 Oct 2021,591.2857,64.1429,1009.6667,605.2381
