category,Average ReordSeen,Minimum ReordSeen,Maximum ReordSeen,Median ReordSeen
1 Oct 2021,0.0738,0,0.1148,0.0656
2 Oct 2021,0,0,0,0
3 Oct 2021,0,0,0,0
4 Oct 2021,0.0625,0,0.0625,0.0625
5 Oct 2021,0.014,0,0.0245,0.014
6 Oct 2021,0.0124,0,0.0413,0.0083
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,0,0,0,0
12 Oct 2021,0.0172,0,0.0172,0.0172
13 Oct 2021,0,0,0,0
14 Oct 2021,0.0149,0,0.0149,0.0149
15 Oct 2021,0,0,0,0
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,0.25,0,0.25,0.25
20 Oct 2021,0,0,0,0
21 Oct 2021,0,0,0,0
22 Oct 2021,0,0,0,0
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,0,0,0,0
26 Oct 2021,0,0,0,0
27 Oct 2021,0.0125,0,0.0375,0.0125
28 Oct 2021,0.0976,0.0976,0.0976,0.0976
29 Oct 2021,0.1591,0.1364,0.1591,0.1591
30 Oct 2021,0,0,0,0
31 Oct 2021,0,0,0,0
