category,Average BytesReceived,Minimum BytesReceived,Maximum BytesReceived,Median BytesReceived
1 Oct 2021,1131.7377,788.6885,1541.459,1136.1885
2 Oct 2021,0,0,0,0
3 Oct 2021,1511,1185,1890,1561
4 Oct 2021,1149.3889,785,1578.7778,1165.0556
5 Oct 2021,1131.8819,785,1546.4653,1137.9063
6 Oct 2021,1126.1736,786.6529,1530.6901,1131.2603
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,1173.6667,785,1631,1177
12 Oct 2021,1205.8814,785,1671.6271,1224.5085
13 Oct 2021,1455.75,1191.75,1777.125,1447.5
14 Oct 2021,1137.9403,791.6866,1551.403,1144.3582
15 Oct 2021,1199,785,1678,1208
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,1472.75,1221.25,1797,1491.75
20 Oct 2021,1104.7167,785,1493.9167,1108.3
21 Oct 2021,0,0,0,0
22 Oct 2021,1437.6667,1197.1667,1753.3333,1444.1667
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,1592.3333,1221.6667,2036.3333,1597.6667
26 Oct 2021,1100.4722,802.4583,1466.3333,1103.1944
27 Oct 2021,1180.2073,858.0854,1568.0366,1194.9512
28 Oct 2021,1199.2093,938.3256,1520.907,1206.7674
29 Oct 2021,1190.587,920.913,1523.3696,1192.3261
30 Oct 2021,1128.5652,803.913,1523.2174,1155.4348
31 Oct 2021,1239.7727,844.3182,1692.4545,1265.2727
