category,Average RWndLimited,Minimum RWndLimited,Maximum RWndLimited,Median RWndLimited
1 Oct 2021,55551.6557,25836.0656,57934.4262,57934.4262
2 Oct 2021,0,0,0,0
3 Oct 2021,0,0,0,0
4 Oct 2021,18229.9444,9555.5556,18888.8889,18888.8889
5 Oct 2021,14176.1076,7236.1111,15111.1111,15111.1111
6 Oct 2021,21435.1405,11173.5537,22314.0496,22314.0496
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,16848.3333,6666.6667,17333.3333,17333.3333
12 Oct 2021,406.7797,406.7797,406.7797,406.7797
13 Oct 2021,30799.125,8500,35000,35000
14 Oct 2021,1181.2388,537.3134,1253.7313,1253.7313
15 Oct 2021,0,0,0,0
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,4000,4000,4000,4000
20 Oct 2021,11188.2333,2000,13000,13000
21 Oct 2021,0,0,0,0
22 Oct 2021,55111.1667,51333.3333,55333.3333,55333.3333
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,0,0,0,0
26 Oct 2021,3429.0139,833.3333,3611.1111,3611.1111
27 Oct 2021,21240.9756,10926.8293,23170.7317,22585.3659
28 Oct 2021,20606.8372,7906.9767,36186.0465,25116.2791
29 Oct 2021,57478.7391,2260.8696,131217.3913,58956.5217
30 Oct 2021,0,0,0,0
31 Oct 2021,0,0,0,0
