category,Average ATO,Minimum ATO,Maximum ATO,Median ATO
1 Oct 2021,42028.0656,40000,68983.6066,44180.3279
2 Oct 2021,0,0,0,0
3 Oct 2021,41026,40000,80000,80000
4 Oct 2021,40322.75,40000,45500,41000
5 Oct 2021,40223.7727,40000,46251.7483,40454.5455
6 Oct 2021,40748.2025,40000,53074.3802,40338.843
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,40242.3333,40000,53333.3333,40000
12 Oct 2021,40455.7586,40000,51655.1724,40551.7241
13 Oct 2021,40805.5714,40000,68000,40000
14 Oct 2021,40220.7015,40000,47462.6866,40000
15 Oct 2021,40000,40000,40000,40000
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,40046.5,40000,41000,40000
20 Oct 2021,40063.4167,40000,42066.6667,40000
21 Oct 2021,0,0,0,0
22 Oct 2021,40176,40000,42000,40000
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,45777,40000,84000,41000
26 Oct 2021,40929.9589,40000,52000,40602.7397
27 Oct 2021,42649.9,40000,70900,42550
28 Oct 2021,42915.9268,40000,66243.9024,45024.3902
29 Oct 2021,47050.1136,40000,93090.9091,46636.3636
30 Oct 2021,44823.6957,40000,90260.8696,42260.8696
31 Oct 2021,41880.5238,40000,64000,42857.1429
