category,Average BusyTime,Minimum BusyTime,Maximum BusyTime,Median BusyTime
1 Oct 2021,4708414.3689,267508.1967,9888459.0164,4842442.623
2 Oct 2021,0,0,0,0
3 Oct 2021,3370256.5,430000,7644000,3294000
4 Oct 2021,4609296.7222,270444.4444,9869333.3333,4757555.5556
5 Oct 2021,4627864.7951,280722.2222,9860388.8889,4713590.2778
6 Oct 2021,4626437.2893,267619.8347,9813719.0083,4765644.6281
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,4755655.6667,132000,9820000,4883333.3333
12 Oct 2021,4564321.7627,250305.0847,9830101.6949,4477762.7119
13 Oct 2021,3791009.625,169000,8623500,3547750
14 Oct 2021,4576148.4925,200000,9850805.9701,4695462.6866
15 Oct 2021,4643048,52000,9772000,5008000
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,4424812,344000,8629000,4602500
20 Oct 2021,4583080.95,238600,9786466.6667,4717966.6667
21 Oct 2021,0,0,0,0
22 Oct 2021,3493090.8333,462000,7078000,3612000
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,4500344,156000,9580000,4549333.3333
26 Oct 2021,4506274,223111.1111,9587555.5556,4639666.6667
27 Oct 2021,4292918.6585,325170.7317,9449512.1951,4330219.5122
28 Oct 2021,4086639.3023,292837.2093,8954325.5814,4215302.3256
29 Oct 2021,4302272.087,489043.4783,9148869.5652,4270956.5217
30 Oct 2021,4340678.8696,339130.4348,9581565.2174,4542869.5652
31 Oct 2021,4110193.7273,226000,9668909.0909,4055000
