category,Average Sacked,Minimum Sacked,Maximum Sacked,Median Sacked
1 Oct 2021,28.2131,0.0902,157.0738,13.4344
2 Oct 2021,0,0,0,0
3 Oct 2021,0.5,0,7.5,7.5
4 Oct 2021,27.9444,0,163.6111,9.8889
5 Oct 2021,15.2847,0.0521,95.3924,8.809
6 Oct 2021,16.6529,0.0579,100.8388,9.2769
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,11.3333,0,109.6667,6.3333
12 Oct 2021,5.4407,0,39.1695,4.7797
13 Oct 2021,46.125,0,178.25,40.5
14 Oct 2021,5.791,0,47.4925,4.6418
15 Oct 2021,8,0,108,0
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,15.5,0,115.5,5
20 Oct 2021,4.8167,0,39.9833,3.0167
21 Oct 2021,0,0,0,0
22 Oct 2021,23.5,0,112.3333,15.3333
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,0.6667,0,11,0
26 Oct 2021,5.9444,0.0139,42.1528,4.4861
27 Oct 2021,19.2073,0.0976,83.5976,15.7439
28 Oct 2021,21,0.0698,112.5349,14.4651
29 Oct 2021,13.0217,0,75.5,10.5652
30 Oct 2021,10.9565,0,73.7391,10.5652
31 Oct 2021,6.6818,0,54.4091,5.6818
