category,Average DeliveryRate,Minimum DeliveryRate,Maximum DeliveryRate,Median DeliveryRate
1 Oct 2021,403806.582,96726.0738,569612.0246,391945.6803
2 Oct 2021,0,0,0,0
3 Oct 2021,117532,38407,122966,120134
4 Oct 2021,509013.75,240607,609124,506895.125
5 Oct 2021,826044.8042,614441.9126,906754.2657,815088.7727
6 Oct 2021,804649.4174,566142.2231,909259.4215,803610.6488
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,1339128,1185727,1460707,1290692.6667
12 Oct 2021,1037710.9138,949317.4138,1068940.5,1027253.431
13 Oct 2021,219073.4286,26530.8571,317415.4286,201230.7143
14 Oct 2021,1114977.1045,1028401.8955,1150140.5522,1102364.3881
15 Oct 2021,1830663,1830663,1830663,1830663
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,438159.5,97481.25,532315,472940.5
20 Oct 2021,1200169.9,1178157.35,1205387.4833,1199249.1
21 Oct 2021,0,0,0,0
22 Oct 2021,532030.5,225313.8333,631881,574954.8333
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,162844.5,42879,176505,165785
26 Oct 2021,1110445.1507,1045773.9589,1135669.6712,1110240.9589
27 Oct 2021,374886.825,190334.0125,454716.3,381932.475
28 Oct 2021,475779.8049,282565.3659,556128.7561,458999.2683
29 Oct 2021,141392.25,87604.4545,153567.1818,142572.8636
30 Oct 2021,121694.8696,108620.4783,125535.2174,122767.3043
31 Oct 2021,145811.6667,129727.9524,150607.0952,148640
