category,Average SegsOut,Minimum SegsOut,Maximum SegsOut,Median SegsOut
1 Oct 2021,10390.8197,657.7295,19748.5902,10975.9262
2 Oct 2021,0,0,0,0
3 Oct 2021,2489.5,241.5,5721,2508.5
4 Oct 2021,10229.4444,854,19831,10763.5
5 Oct 2021,9699.9722,752.2049,18766.1076,10207.0104
6 Oct 2021,9919.7107,781.4008,18942.8719,10452.2521
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,10214,997,18722,10536
12 Oct 2021,6607.8983,236.2203,14609.0678,6448.0339
13 Oct 2021,5881.875,176.75,12283,5907.5
14 Oct 2021,9206.7761,654.8507,17780.5075,9720.5075
15 Oct 2021,11197,491,21005,11979
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,6210.25,791.75,11486.25,6487.25
20 Oct 2021,10367.3833,799.4833,20140.2667,10876.6167
21 Oct 2021,0,0,0,0
22 Oct 2021,7630.1667,1040.8333,14116.8333,8105.5
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,4659,119.6667,10499.3333,4611.3333
26 Oct 2021,10109.4583,766.5833,19392.4861,10635.6944
27 Oct 2021,6418.2439,522.4024,12657.939,6754.6707
28 Oct 2021,5635.9535,559.2558,11058.5814,5937.9302
29 Oct 2021,3465.4783,206.087,7375.5435,3560.1304
30 Oct 2021,2802.8696,194.8696,6227.7826,2900.9565
31 Oct 2021,3152.4091,158.4091,7532.2727,3033.9091
