category,Average RTT,Minimum RTT,Maximum RTT,Median RTT
1 Oct 2021,20159.1803,9873.5,37759.4344,22905.0082
2 Oct 2021,0,0,0,0
3 Oct 2021,50217,31643,80763,52466
4 Oct 2021,15177,9528.6875,26180.3125,16123.125
5 Oct 2021,10985.9476,6534.972,20142.1923,10644.8497
6 Oct 2021,12998.4669,6679.6198,26354.8554,13413.0909
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,7668,5001.3333,12179.6667,7231.6667
12 Oct 2021,23978.4483,4905.0172,52017.569,27256.4483
13 Oct 2021,22430.7143,13455.8571,41106.8571,20733.1429
14 Oct 2021,8975.4478,4603.3731,18822.2687,9265.5821
15 Oct 2021,4126,2872,6843,5488
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,101115.25,12110,219290.25,85758.25
20 Oct 2021,6439.4,4222.55,10851.9667,6771.7833
21 Oct 2021,0,0,0,0
22 Oct 2021,19612.8333,6949.6667,39745.5,20823.3333
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,28277.5,22285,38972,27068.5
26 Oct 2021,10201.8904,6283.9041,17424.274,11020.6301
27 Oct 2021,53538.3875,28055.4875,100964.5125,49036.95
28 Oct 2021,56072.7317,45381.2683,77589.5122,56124.1707
29 Oct 2021,205410.1591,175990.4091,237482.5455,205268.9773
30 Oct 2021,99466.5652,65003.4783,131647.4783,106657.5652
31 Oct 2021,43607.9048,30164.9524,55264.3333,45179
