category,Average BytesAcked,Minimum BytesAcked,Maximum BytesAcked,Median BytesAcked
1 Oct 2021,29670.8525,4718.5738,54677.4672,30285.2705
2 Oct 2021,0,0,0,0
3 Oct 2021,22535,377,43719,23842
4 Oct 2021,30138,4756,55439.375,30761.1875
5 Oct 2021,29762.7028,4751.7622,54817.3846,30387.2413
6 Oct 2021,29678.0579,4734.5661,54707.9504,30260.1157
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,31980.6667,4756,59314,33156.3333
12 Oct 2021,29227.8448,4756,53814.1207,29790.7414
13 Oct 2021,24120.1429,1157.5714,47199,24580.1429
14 Oct 2021,29766.3433,4693.8806,54920.3284,30258.7761
15 Oct 2021,29849,4756,54995,29838
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,26867.5,582.75,54768.75,28200.25
20 Oct 2021,29469.5167,4756,54204.1167,30131.1833
21 Oct 2021,0,0,0,0
22 Oct 2021,25656.8333,550.3333,50993.5,26332.3333
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,24666,579,48926.5,25276.5
26 Oct 2021,29795.8767,4527.5342,55129.9452,30337.9589
27 Oct 2021,28621.825,4165.8625,53294.0375,28972.9375
28 Oct 2021,27199.439,3524.7073,51119.8293,27711.4634
29 Oct 2021,26018.5909,3463.9091,49127.1591,26562.8409
30 Oct 2021,28441,4539.2609,52666.3043,29225.6957
31 Oct 2021,29929.2381,4358.1905,55713.6667,30424.9048
