category,Average NotsentBytes,Minimum NotsentBytes,Maximum NotsentBytes,Median NotsentBytes
1 Oct 2021,4.5082,0,96.8279,0
2 Oct 2021,0,0,0,0
3 Oct 2021,0,0,0,0
4 Oct 2021,0,0,0,0
5 Oct 2021,3.3182,0,45.4476,0
6 Oct 2021,1.1653,0,33.719,0
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,0,0,0,0
12 Oct 2021,0.0172,0,0.7414,0
13 Oct 2021,9.8571,0,336.5714,0
14 Oct 2021,0,0,0,0
15 Oct 2021,0,0,0,0
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,13.5,0,303.5,0
20 Oct 2021,0,0,0,0
21 Oct 2021,0,0,0,0
22 Oct 2021,0,0,0,0
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,0,0,0,0
26 Oct 2021,14.5616,0,191.9315,0
27 Oct 2021,13.7125,0,162.675,29.4125
28 Oct 2021,8.9024,0,200,0
29 Oct 2021,2.8409,0,81.7273,0
30 Oct 2021,3.5652,0,102.087,0
31 Oct 2021,0,0,0,0
