category,Average Unacked,Minimum Unacked,Maximum Unacked,Median Unacked
1 Oct 2021,68.9508,17.1148,282.4672,37.8279
2 Oct 2021,0,0,0,0
3 Oct 2021,69,41.5,97,91.5
4 Oct 2021,71.2222,14.2778,293.0556,38.0556
5 Oct 2021,54.9618,12.4444,234.8021,31.2882
6 Oct 2021,55.4793,12.6818,227.6983,31.5661
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,32.6667,10,231.3333,18.3333
12 Oct 2021,32.1864,9.2712,109.322,23.6271
13 Oct 2021,115,20.375,398.875,85.875
14 Oct 2021,37.6269,9.1343,199.5821,17.8209
15 Oct 2021,26,8,241,10
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,59.75,15.75,187.75,23.5
20 Oct 2021,40.8167,10.0333,212.6,15.35
21 Oct 2021,0,0,0,0
22 Oct 2021,94.1667,39.5,265,81.5
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,71.3333,28,110.3333,59.6667
26 Oct 2021,41.5556,9.8472,215,17.6944
27 Oct 2021,69.8049,20.5122,199.4634,56.878
28 Oct 2021,96.7209,25.2791,237.6512,81.2093
29 Oct 2021,99.6957,26,221.3261,99.2609
30 Oct 2021,72.087,27.2609,153.087,70.5217
31 Oct 2021,66,26.2273,126.0455,68.0909
