category,Average ReordSeen,Minimum ReordSeen,Maximum ReordSeen,Median ReordSeen
1 Oct 2021,0.1066,0.0328,0.1557,0.082
2 Oct 2021,0,0,0,0
3 Oct 2021,0,0,0,0
4 Oct 2021,0,0,0,0
5 Oct 2021,0.0104,0,0.0278,0.0104
6 Oct 2021,0.0041,0,0.0124,0.0041
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,0,0,0,0
12 Oct 2021,0,0,0,0
13 Oct 2021,0,0,0.125,0
14 Oct 2021,0,0,0.0149,0
15 Oct 2021,0,0,0,0
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,0,0,0,0
20 Oct 2021,0,0,0,0
21 Oct 2021,0,0,0,0
22 Oct 2021,0,0,0,0
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,1.3333,1,1.3333,1.3333
26 Oct 2021,0,0,0,0
27 Oct 2021,0.1585,0.0122,0.2439,0.2317
28 Oct 2021,0.8372,0.7209,0.9302,0.814
29 Oct 2021,0.8478,0.413,1.2174,0.7174
30 Oct 2021,0,0,0,0
31 Oct 2021,0,0,0,0
