category,Average PMTU,Minimum PMTU,Maximum PMTU,Median PMTU
1 Oct 2021,64076,64076,64076,64076
2 Oct 2021,0,0,0,0
3 Oct 2021,64076,64076,64076,64076
4 Oct 2021,64076,64076,64076,64076
5 Oct 2021,64076,64076,64076,64076
6 Oct 2021,64076,64076,64076,64076
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,64076,64076,64076,64076
12 Oct 2021,64076,64076,64076,64076
13 Oct 2021,64076,64076,64076,64076
14 Oct 2021,64076,64076,64076,64076
15 Oct 2021,64076,64076,64076,64076
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,64076,64076,64076,64076
20 Oct 2021,64076,64076,64076,64076
21 Oct 2021,0,0,0,0
22 Oct 2021,64076,64076,64076,64076
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,64076,64076,64076,64076
26 Oct 2021,64076,64076,64076,64076
27 Oct 2021,64076,64076,64076,64076
28 Oct 2021,64076,64076,64076,64076
29 Oct 2021,64076,64076,64076,64076
30 Oct 2021,64076,64076,64076,64076
31 Oct 2021,64076,64076,64076,64076
