category,Average RTTVar,Minimum RTTVar,Maximum RTTVar,Median RTTVar
1 Oct 2021,1197.2869,249.7869,6262.7377,927.5738
2 Oct 2021,0,0,0,0
3 Oct 2021,7702.5,2757,20919,12040.5
4 Oct 2021,1347.8333,206,7769,541.8889
5 Oct 2021,1942.1181,313.1181,9907.2604,1398.9514
6 Oct 2021,1718.1488,271.095,9294.8017,1257.9628
7 Oct 2021,0,0,0,0
8 Oct 2021,0,0,0,0
9 Oct 2021,0,0,0,0
10 Oct 2021,0,0,0,0
11 Oct 2021,328.6667,109,942,352.3333
12 Oct 2021,3174.7797,409.3729,20429.4915,1621.9661
13 Oct 2021,4601,579,19404.5,4290.625
14 Oct 2021,1576.8955,265.7612,9161.5672,951.3134
15 Oct 2021,268,44,748,504
16 Oct 2021,0,0,0,0
17 Oct 2021,0,0,0,0
18 Oct 2021,0,0,0,0
19 Oct 2021,6042.25,979,21400,2494.25
20 Oct 2021,1350.75,163.6167,8118.1167,684.55
21 Oct 2021,0,0,0,0
22 Oct 2021,2986.1667,597.3333,15704.5,1651.6667
23 Oct 2021,0,0,0,0
24 Oct 2021,0,0,0,0
25 Oct 2021,5934,1984,21190,12121
26 Oct 2021,1749.7361,307.0278,9355.5139,1293.1806
27 Oct 2021,6234.6463,1627.6098,18559.3415,4658.8659
28 Oct 2021,6449.3488,1162.1163,24690.4651,8303.6744
29 Oct 2021,19483.2826,5029.2609,69535.6957,15444.8696
30 Oct 2021,11403.087,3348.4348,31043.2609,12159.1304
31 Oct 2021,6135.7727,1696.5909,20576.1818,6083.0909
