category,Average DeliveryRate,Minimum DeliveryRate,Maximum DeliveryRate,Median DeliveryRate
1 Apr 2022,2224504.3429,1008972.4571,4512258.2286,1936112.6571
2 Apr 2022,2127178.5263,973813.2632,4775595.7895,2084765.3158
3 Apr 2022,1693298.6,975208.8,3803532.3,1596082.3
4 Apr 2022,1220677.8235,523568.3235,2348542.5294,1158312.7647
5 Apr 2022,2234232.3478,1093810.6522,4537443.087,1881530.8478
6 Apr 2022,2341699.1852,1117922.5926,4408445.2593,2263406.9259
7 Apr 2022,2288541.1395,943948.8372,4428944.4884,2160420.7674
8 Apr 2022,1292631.8846,395547.2308,2379558.7308,1333263.9615
9 Apr 2022,1524576.9091,876813.5455,4642193.4545,1330358.8636
10 Apr 2022,1944056.9,760818.2,2728158,2023088.65
11 Apr 2022,1934623.1667,943287.75,4175921.7222,1772691.25
12 Apr 2022,1622038.5634,836177.662,3596169.6338,1473328.3521
13 Apr 2022,1127535,698194,2032921,1107173.75
14 Apr 2022,1143789.4255,542400.0638,1674004.0213,1188856.8936
15 Apr 2022,525449,242622.027,860125.1081,532170.5676
16 Apr 2022,393901.2,207307.2,595962.6,451504.6
17 Apr 2022,728410.9,278624.5,1061661.6,735581.8
18 Apr 2022,782244.8571,357663.9048,1271901.7619,821493.4286
19 Apr 2022,1401904.3913,652968.3478,2354026.3768,1350162.7391
20 Apr 2022,1888647.726,817435.6575,4371057.6164,1643222.9589
21 Apr 2022,1247005.8936,643686.8511,2267604.1277,1168137.4043
22 Apr 2022,1648832.2059,733850.6176,3352416.3235,1463728.7941
23 Apr 2022,678267.5714,377457.4286,2196185.4286,675954.5714
24 Apr 2022,1583632.2424,1005408.697,4181905.2727,1330052.3333
25 Apr 2022,1716124.0824,741072.5176,3472958.3647,1578165.1059
26 Apr 2022,2294906.8649,1072659.8378,5341448.9459,2109628.4324
27 Apr 2022,2446664.871,974797.2903,6294694.1613,2194555.4839
28 Apr 2022,1646981.6341,753777.5366,3503575.4634,1469856.878
29 Apr 2022,1388740.9038,618552.4423,2246706.5385,1468308.4231
30 Apr 2022,1112919.5455,515815.3636,2315903.8636,1023670.5
