category,Average TotalRetrans,Minimum TotalRetrans,Maximum TotalRetrans,Median TotalRetrans
1 Apr 2022,1.1143,0.0286,1.8,1.1143
2 Apr 2022,1.6316,0,2.2105,1.7895
3 Apr 2022,3.15,0,4.95,3.45
4 Apr 2022,2.5882,0.0588,4.2647,2.9412
5 Apr 2022,2.1739,0.0217,3.5217,2.3696
6 Apr 2022,2.1111,0,3.6296,2.3333
7 Apr 2022,2.0465,0.0233,3.6047,2.093
8 Apr 2022,1.4231,0.0385,2.7692,1.5769
9 Apr 2022,0.9091,0,1.4091,0.7727
10 Apr 2022,1.65,0.05,1.95,1.85
11 Apr 2022,2.2432,0,4.0541,2.4054
12 Apr 2022,2.1449,0.0435,3.8261,2.2899
13 Apr 2022,2.3333,0,3.6667,2.3333
14 Apr 2022,2.1915,0,3.5745,2.3404
15 Apr 2022,0.8108,0.027,1.2432,0.8919
16 Apr 2022,2.4,0,3.4,2.6
17 Apr 2022,4.9,0,7.9,5.4
18 Apr 2022,3.3415,0.0488,5.2195,3.6341
19 Apr 2022,3.1714,0.0286,5.1,3.5571
20 Apr 2022,1.6944,0.0139,2.7778,1.8056
21 Apr 2022,1.0625,0.0417,1.5833,1.0625
22 Apr 2022,1.8529,0.2353,3.1765,1.8824
23 Apr 2022,1.5714,0,2.4286,2.4286
24 Apr 2022,1.4063,0.1875,2.5625,1.4375
25 Apr 2022,2.8824,0.0941,4.9294,3.2588
26 Apr 2022,2.3784,0.1081,4.2162,2.4324
27 Apr 2022,2.6774,0.2903,4.7742,2.5806
28 Apr 2022,1.5714,0.0476,3.381,1.5714
29 Apr 2022,1.5,0.0769,2.4231,1.6538
30 Apr 2022,1.5455,0.0455,1.9545,1.7273
