category,Average DsackDups,Minimum DsackDups,Maximum DsackDups,Median DsackDups
1 Apr 2022,1.1714,0.0286,1.8571,1.2286
2 Apr 2022,1.6316,0,2,1.8421
3 Apr 2022,3.3,0,5,3.55
4 Apr 2022,1.9412,0.0294,3.2353,2.1176
5 Apr 2022,1.8913,0.0217,3.1739,2.0652
6 Apr 2022,2,0,3.2963,2.1481
7 Apr 2022,1.9302,0.0233,3.4186,1.9767
8 Apr 2022,1.1923,0.0385,2.1923,1.3462
9 Apr 2022,0.9545,0,1.4091,0.8636
10 Apr 2022,1.75,0.05,2.05,2
11 Apr 2022,1.7027,0,2.9189,1.8649
12 Apr 2022,2.0725,0.0435,3.5942,2.2319
13 Apr 2022,2.1667,0,3.3333,2.1667
14 Apr 2022,2.1915,0,3.3617,2.3404
15 Apr 2022,0.6486,0,0.9459,0.7027
16 Apr 2022,2.6,0,4,2.8
17 Apr 2022,5.6,0,9.1,6.4
18 Apr 2022,3.3902,0.0244,5.2195,3.6829
19 Apr 2022,3.3714,0.0143,5.4286,3.7
20 Apr 2022,1.5694,0.0139,2.6389,1.5972
21 Apr 2022,1.1458,0.0417,1.6667,1.1667
22 Apr 2022,1.0294,0,1.9412,0.9706
23 Apr 2022,0.2857,0,0.4286,0.4286
24 Apr 2022,1.3125,0.0938,2.0625,1.4688
25 Apr 2022,2.3294,0,3.8471,2.6118
26 Apr 2022,1.8649,0,3.2703,2
27 Apr 2022,1.5806,0,2.7742,1.6452
28 Apr 2022,1.2857,0,2.619,1.3095
29 Apr 2022,1.4231,0.0577,2.1731,1.5385
30 Apr 2022,1.6364,0.0455,2.0455,1.8182
