category,Average DeliveryRate,Minimum DeliveryRate,Maximum DeliveryRate,Median DeliveryRate
1 Apr 2022,578774.2571,566304.0286,584280.3714,578567.4857
2 Apr 2022,505734.9474,465419.2105,519124.3158,519124.3158
3 Apr 2022,770863,754563.3,778062.55,777676.6
4 Apr 2022,421232.7353,363573.3529,455419.8235,423426.3235
5 Apr 2022,732289.2826,668753.6304,744065.7609,732954.3696
6 Apr 2022,824258.2593,775733.7037,832288.963,824422.4444
7 Apr 2022,721612.3256,631401.5581,746888.7442,720359.0465
8 Apr 2022,377008.7692,269367.9231,413172.4231,369954.4615
9 Apr 2022,787168.2727,781434.3182,788615.4091,788313.4545
10 Apr 2022,128280.35,126487.1,129549.1,127943.55
11 Apr 2022,593291.5405,549783.9189,625394.1622,591128.8919
12 Apr 2022,612139.7536,593502.0435,620692.4783,607379.6232
13 Apr 2022,484736.8333,470916.1667,486725.8333,486725.8333
14 Apr 2022,135956.234,113610.2979,145078.8298,134547.5957
15 Apr 2022,153418.7027,132834.7838,157912.2973,153198.0811
16 Apr 2022,159977,111114.2,171628.8,166597.8
17 Apr 2022,169805.3,139499.7,180107.4,169968
18 Apr 2022,114846.7805,103195.4146,120289.9024,112653.4878
19 Apr 2022,345609.8,301075.9429,375622.5429,338674.5286
20 Apr 2022,739647.5833,701554.6944,753396.8889,742156.4722
21 Apr 2022,538595.3333,525026.1667,542321.6667,538838.5
22 Apr 2022,644218.7353,453966.5882,700045.1765,630017.7941
23 Apr 2022,375694.2857,368476.7143,378184,375334.7143
24 Apr 2022,934882.9375,924810.9375,938376.6563,936154.4063
25 Apr 2022,567923.8824,510522.3765,590493.5647,571998.5882
26 Apr 2022,1022652.4865,937909.8108,1054418.1892,998191.2703
27 Apr 2022,1006046.0323,901350.0968,1054851.4194,1008457.5806
28 Apr 2022,621671.1667,541095.8095,657774.6429,617054.0952
29 Apr 2022,288347.2115,215588.6538,301593.8462,289298.7692
30 Apr 2022,376984.1364,365985.3182,380958.6364,376196.5
