category,Average RTO,Minimum RTO,Maximum RTO,Median RTO
1 Apr 2022,246013.8571,220000,291771.4286,255485.7143
2 Apr 2022,271624,227157.8947,323789.4737,270631.5789
3 Apr 2022,324877.5,225600,471200,346000
4 Apr 2022,306123.5588,223529.4118,435529.4118,319176.4706
5 Apr 2022,250067.4348,215739.1304,298695.6522,255000
6 Apr 2022,232020.6667,212148.1481,282370.3704,247037.037
7 Apr 2022,229416.5581,213116.2791,269488.3721,226883.7209
8 Apr 2022,241306.8077,221076.9231,286769.2308,249846.1538
9 Apr 2022,255504.5,222000,303272.7273,247636.3636
10 Apr 2022,299038.05,238800,383000,318700
11 Apr 2022,248729.2703,221189.1892,324972.973,246216.2162
12 Apr 2022,355981.6522,226260.8696,582956.5217,415594.2029
13 Apr 2022,451555.8333,293333.3333,606666.6667,449333.3333
14 Apr 2022,375133.1489,239404.2553,547489.3617,395957.4468
15 Apr 2022,243598.2432,229945.9459,258918.9189,244594.5946
16 Apr 2022,408259.6,231200,757600,341200
17 Apr 2022,416608.6,234800,724400,418600
18 Apr 2022,417115.7805,247219.5122,680195.122,404195.122
19 Apr 2022,422650.5286,240228.5714,666400,461828.5714
20 Apr 2022,263162.6528,218666.6667,349666.6667,266722.2222
21 Apr 2022,240178.7083,221916.6667,280416.6667,247625
22 Apr 2022,230114.1471,215529.4118,278823.5294,227176.4706
23 Apr 2022,672110.2857,348571.4286,1154285.7143,1111428.5714
24 Apr 2022,375429.25,277125,554875,366812.5
25 Apr 2022,338653.1765,225600,583764.7059,341552.9412
26 Apr 2022,262861.6486,209513.5135,403675.6757,279297.2973
27 Apr 2022,233276.7742,209677.4194,306580.6452,219032.2581
28 Apr 2022,257425.9524,217047.619,326190.4762,298476.1905
29 Apr 2022,269614.9038,225384.6154,336615.3846,283307.6923
30 Apr 2022,285958.3182,232727.2727,386545.4545,286272.7273
