category,Average BytesReceived,Minimum BytesReceived,Maximum BytesReceived,Median BytesReceived
1 Apr 2022,1151.1429,785,1578.6286,1159.8571
2 Apr 2022,1226.3684,785,1712.6316,1244
3 Apr 2022,1154.8,785,1581.65,1156.5
4 Apr 2022,1075.6765,785,1431.9412,1090.6765
5 Apr 2022,1102.3261,794.7391,1482.3696,1105.9783
6 Apr 2022,1115.5556,785,1519.5926,1117.5556
7 Apr 2022,1161.5116,798.1628,1591.6977,1167.1628
8 Apr 2022,1127.4231,785,1542.4231,1131.3462
9 Apr 2022,1192.1818,802.2273,1641.8182,1207.1818
10 Apr 2022,1243.6,785,1743.8,1247
11 Apr 2022,1168.1111,785,1611.4167,1178.7778
12 Apr 2022,1103.5915,785,1486.6901,1112.169
13 Apr 2022,1067.5,785,1443,1055.25
14 Apr 2022,1161.6596,785,1592,1172.1064
15 Apr 2022,1140.5405,785,1564.9459,1149.7027
16 Apr 2022,1154.6,785,1565.2,1198.6
17 Apr 2022,1155.7,785,1579.3,1151.7
18 Apr 2022,1113,785,1503.4286,1127.0476
19 Apr 2022,1157.942,790.971,1585.8841,1171.5652
20 Apr 2022,1155.863,785,1581.4247,1166.274
21 Apr 2022,1119.8723,785,1518,1130.6383
22 Apr 2022,1131.7059,785,1534.2353,1138.9706
23 Apr 2022,989,785,1268.4286,980
24 Apr 2022,1105.4545,802.1515,1465.8485,1113.4848
25 Apr 2022,1121.5765,785,1522.0706,1135.9882
26 Apr 2022,1112.6486,785,1505.2432,1124.2703
27 Apr 2022,1125.2258,785,1521.8387,1137.6452
28 Apr 2022,1109.9268,785,1500.3171,1119.878
29 Apr 2022,1161.3654,785,1600.2692,1165.6923
30 Apr 2022,1121.9091,785,1522.0455,1126.9545
