category,Average Retrans,Minimum Retrans,Maximum Retrans,Median Retrans
1 Apr 2022,0.5429,0,4.1143,0.9714
2 Apr 2022,0.1053,0,1.4737,0.2105
3 Apr 2022,0.2,0,2.8,0.25
4 Apr 2022,0.9412,0,9.1765,0.5588
5 Apr 2022,1.0435,0,9.413,2.5435
6 Apr 2022,1.2222,0,14,0.8889
7 Apr 2022,0.8605,0,7.9302,0.6279
8 Apr 2022,0.8077,0,6.6154,1.0769
9 Apr 2022,0.1818,0,1.6364,0.2273
10 Apr 2022,0.25,0,4.95,0
11 Apr 2022,0.6389,0,5.6944,0.3889
12 Apr 2022,0.6197,0,5.8451,0.6901
13 Apr 2022,1,0,7.25,1
14 Apr 2022,0.0851,0,1.4043,0.234
15 Apr 2022,0.027,0,0.6486,0.0541
16 Apr 2022,0,0,0.8,0
17 Apr 2022,0,0,0.2,0.1
18 Apr 2022,0.0952,0,1.0476,0.0952
19 Apr 2022,0.1884,0,2.3913,0.087
20 Apr 2022,0.7123,0,6.1507,0.9315
21 Apr 2022,0.234,0,3.0851,0.4255
22 Apr 2022,0.6176,0,5.2059,0.7941
23 Apr 2022,1.1429,0,8.1429,2.5714
24 Apr 2022,0.5455,0,5.1818,0.6667
25 Apr 2022,0.6706,0,5.4118,1.1059
26 Apr 2022,1.2703,0,11.1081,0.7568
27 Apr 2022,1.4194,0,9.9355,1.2581
28 Apr 2022,0.7561,0,7.8293,0.561
29 Apr 2022,0.4808,0,6.3269,1.9615
30 Apr 2022,0.1364,0,1.3182,0.0909
