category,Average PMTU,Minimum PMTU,Maximum PMTU,Median PMTU
1 Apr 2022,64076,64076,64076,64076
2 Apr 2022,64076,64076,64076,64076
3 Apr 2022,64076,64076,64076,64076
4 Apr 2022,64076,64076,64076,64076
5 Apr 2022,64076,64076,64076,64076
6 Apr 2022,64076,64076,64076,64076
7 Apr 2022,64076,64076,64076,64076
8 Apr 2022,64076,64076,64076,64076
9 Apr 2022,64076,64076,64076,64076
10 Apr 2022,64076,64076,64076,64076
11 Apr 2022,64076,64076,64076,64076
12 Apr 2022,64076,64076,64076,64076
13 Apr 2022,64076,64076,64076,64076
14 Apr 2022,64076,64076,64076,64076
15 Apr 2022,64076,64076,64076,64076
16 Apr 2022,64076,64076,64076,64076
17 Apr 2022,64076,64076,64076,64076
18 Apr 2022,64076,64076,64076,64076
19 Apr 2022,64076,64076,64076,64076
20 Apr 2022,64076,64076,64076,64076
21 Apr 2022,64076,64076,64076,64076
22 Apr 2022,64076,64076,64076,64076
23 Apr 2022,64076,64076,64076,64076
24 Apr 2022,64076,64076,64076,64076
25 Apr 2022,64076,64076,64076,64076
26 Apr 2022,64076,64076,64076,64076
27 Apr 2022,64076,64076,64076,64076
28 Apr 2022,64076,64076,64076,64076
29 Apr 2022,64076,64076,64076,64076
30 Apr 2022,64076,64076,64076,64076
