category,Average RWndLimited,Minimum RWndLimited,Maximum RWndLimited,Median RWndLimited
1 Apr 2022,0,0,0,0
2 Apr 2022,0,0,0,0
3 Apr 2022,0,0,0,0
4 Apr 2022,1102.9412,588.2353,1176.4706,1176.4706
5 Apr 2022,3294.1087,869.5652,4173.913,4173.913
6 Apr 2022,3435.6296,1629.6296,4000,4000
7 Apr 2022,1517.6512,372.093,1767.4419,1767.4419
8 Apr 2022,0,0,0,0
9 Apr 2022,112352.9545,6909.0909,253818.1818,116909.0909
10 Apr 2022,539.4,0,4200,400
11 Apr 2022,2049.5833,1222.2222,2222.2222,2222.2222
12 Apr 2022,865.831,281.6901,957.7465,957.7465
13 Apr 2022,4000,4000,4000,4000
14 Apr 2022,0,0,0,0
15 Apr 2022,0,0,0,0
16 Apr 2022,0,0,0,0
17 Apr 2022,0,0,0,0
18 Apr 2022,0,0,0,0
19 Apr 2022,3609.6667,579.7101,3826.087,3826.087
20 Apr 2022,2663.2055,2191.7808,2739.726,2739.726
21 Apr 2022,863.2128,425.5319,936.1702,936.1702
22 Apr 2022,1888.5588,0,2470.5882,2470.5882
23 Apr 2022,571.4286,571.4286,571.4286,571.4286
24 Apr 2022,363.6364,363.6364,363.6364,363.6364
25 Apr 2022,3156,282.3529,5882.3529,3247.0588
26 Apr 2022,2701.4324,1081.0811,2918.9189,2918.9189
27 Apr 2022,3707.5161,1806.4516,4000,4000
28 Apr 2022,385.0976,292.6829,390.2439,390.2439
29 Apr 2022,9238.5385,615.3846,13846.1538,13846.1538
30 Apr 2022,0,0,0,0
