category,Average SegsOut,Minimum SegsOut,Maximum SegsOut,Median SegsOut
1 Apr 2022,1192.7143,188,2032.7714,1227.4
2 Apr 2022,742.0526,137.6842,1333.5263,740.4211
3 Apr 2022,829.05,143.1,1514.9,833.75
4 Apr 2022,1113.7059,149.1471,2054.7647,1143.8529
5 Apr 2022,1135.6957,161.0652,2028.3913,1160.3696
6 Apr 2022,1279.3704,133.4074,2298.3704,1313.6667
7 Apr 2022,1074.5116,133.6512,1869.907,1111
8 Apr 2022,974.3846,56.5,1715.4231,1062.9231
9 Apr 2022,1245.0909,146.1364,2187.0455,1275.6364
10 Apr 2022,313.85,21.2,601.45,323.45
11 Apr 2022,825.5135,117.6486,1446.8378,848.8378
12 Apr 2022,795.6812,127.6232,1409.1014,817.3478
13 Apr 2022,336.3333,28.8333,652.6667,338.8333
14 Apr 2022,264.4681,24.6383,475.383,271.9787
15 Apr 2022,337.973,49.5676,597.7568,346.1351
16 Apr 2022,1332.4,38.4,2619,1391
17 Apr 2022,1927.3,106.7,3728.8,1997.6
18 Apr 2022,255.8049,22.7073,436.5122,270.9512
19 Apr 2022,514.3286,63.5,933.1143,530.2143
20 Apr 2022,1243.4861,189.6111,2146.4722,1284.6944
21 Apr 2022,1219.6667,148.1875,2119.1042,1265.5
22 Apr 2022,1312.5588,132.2059,2366.5588,1379.7647
23 Apr 2022,673.1429,110.5714,1196.7143,653.7143
24 Apr 2022,1267.125,230.3125,2111.9063,1338.7813
25 Apr 2022,1004.9059,158.1294,1715.9765,1056.6
26 Apr 2022,1440.5135,291.6216,2502.7838,1505.0541
27 Apr 2022,1139,208.9032,2006.9032,1162.2581
28 Apr 2022,1029.0238,201.8571,1755.1905,1043.0952
29 Apr 2022,534.1346,62.4423,948.6923,552.25
30 Apr 2022,707.8182,59.5909,1248.2727,729.1818
