category,Average SegsIn,Minimum SegsIn,Maximum SegsIn,Median SegsIn
1 Apr 2022,3330.2857,204.8286,7054.1429,3352.7429
2 Apr 2022,3652.8421,330.9474,7671.6316,3514.8421
3 Apr 2022,3527.4,490.7,6904.4,3580.2
4 Apr 2022,1747.0882,93.9412,3850.2353,1863.8529
5 Apr 2022,3133.4565,175.2391,6910.6739,3182.3478
6 Apr 2022,3394.3704,204.8889,7513.4444,3379.2222
7 Apr 2022,3383.093,226.9302,7434.7442,3380.2326
8 Apr 2022,1919.1154,112.4615,4235.5,1826.0385
9 Apr 2022,3172.7273,487.2273,6015.9545,3185.4545
10 Apr 2022,2650.9,123.15,5793.1,2461.9
11 Apr 2022,3501.9722,436.7778,6874,3572.5
12 Apr 2022,2860.9155,301.7746,5727.1408,2900.662
13 Apr 2022,1617.25,132.5,3453.5,1550
14 Apr 2022,1668,103.4468,3675,1604.9574
15 Apr 2022,820.3243,60.3514,1814.9459,808.4595
16 Apr 2022,621,26.8,1427,649.6
17 Apr 2022,1149.6,55.2,2684.7,1117.8
18 Apr 2022,1216.6429,88,2659.119,1215.8571
19 Apr 2022,2206.7246,204.1594,4669,2218.7101
20 Apr 2022,3024.4384,284.0548,6334.3425,3004.4932
21 Apr 2022,1885.1915,106.1277,4121.1702,1911.4255
22 Apr 2022,2916.4706,342.7353,6019.4412,2911.6765
23 Apr 2022,1536.7143,158.4286,2834.2857,1604.4286
24 Apr 2022,3401.8485,485.5758,6456.9091,3429.0303
25 Apr 2022,2412.5176,189.2235,5201.8941,2430.4471
26 Apr 2022,3412.1081,222.4054,7087.0541,3486.8108
27 Apr 2022,3866.0323,401.4516,7704.2581,3946.0645
28 Apr 2022,2578.1951,307.6098,5278.9268,2623.3171
29 Apr 2022,1912.1923,126.9615,4199.9038,1846.4615
30 Apr 2022,1964.7273,241.5909,3953.2273,1990.6364
