category,Average BytesRetrans,Minimum BytesRetrans,Maximum BytesRetrans,Median BytesRetrans
1 Apr 2022,72.8286,15.4857,155.9714,62.1714
2 Apr 2022,126.8947,0,268.6842,76.9474
3 Apr 2022,421.3,0,716.35,428.6
4 Apr 2022,1044.9706,51.6471,1715.1471,1365.0588
5 Apr 2022,248.087,7.7391,406.5,273.0435
6 Apr 2022,320.8148,0,578.7407,402.8889
7 Apr 2022,148.6512,12.6047,242.8372,151.0465
8 Apr 2022,273.0769,13.6923,638,267.7308
9 Apr 2022,57.1818,0,109.6818,33.2273
10 Apr 2022,96.3,27.1,108.8,104.5
11 Apr 2022,655.2432,0,1401.1351,699.8378
12 Apr 2022,283.2464,33.7101,551.4203,291.1159
13 Apr 2022,245.5,0,532,100.3333
14 Apr 2022,292.6383,0,532.766,314.2553
15 Apr 2022,110.7027,14.6486,183.3784,109.2703
16 Apr 2022,216.2,0,371.4,332.8
17 Apr 2022,357.4,0,1019.9,232.2
18 Apr 2022,433.7317,19.8537,732,431.3171
19 Apr 2022,448.1714,15.4857,730.4857,549.8857
20 Apr 2022,245.5,4.9444,379.3472,306.4861
21 Apr 2022,78.2917,18.7083,132.1042,86.2292
22 Apr 2022,888.0588,257.5294,1345.1176,966.0294
23 Apr 2022,1433.7143,0,2184.7143,2184.7143
24 Apr 2022,415.0313,159.375,992.875,353.4375
25 Apr 2022,757.3647,94.9176,1376.6941,857.3765
26 Apr 2022,679.5405,48.7568,1149.973,687.7297
27 Apr 2022,924.3548,79.6129,1786.7742,863.9677
28 Apr 2022,332.2381,41.8095,807.619,341.381
29 Apr 2022,170.4808,30.9615,319.1538,181.9038
30 Apr 2022,162.6364,24.6364,207,196.2727
