category,Average SegsIn,Minimum SegsIn,Maximum SegsIn,Median SegsIn
1 Dec 2021,1096.3333,61.9444,2036.3889,1125.4444
2 Dec 2021,2072.5313,264.5938,3710.5938,2104.2969
3 Dec 2021,2967.9792,389.4792,5162.9583,3052.0833
4 Dec 2021,419.25,54.275,786.525,418.925
5 Dec 2021,538.8,29.15,960.25,582.95
6 Dec 2021,793.4458,110.8795,1383.747,832.7831
7 Dec 2021,1665.4516,217.6452,2860.0968,1734.7419
8 Dec 2021,248.575,22.325,424.2625,267.2
9 Dec 2021,265.5517,54.3448,442.5517,270.8966
10 Dec 2021,111.4118,18.7941,184.7353,116.6471
11 Dec 2021,663.2857,61.5,1126.5,691.7857
12 Dec 2021,1337.6279,102.7209,2166.9535,1451.1395
13 Dec 2021,1336.8372,241.3488,2335.0233,1364.814
14 Dec 2021,2793.082,433.2131,5039,2810.541
15 Dec 2021,1786.8793,260.7414,3188.1897,1791.7241
16 Dec 2021,1221.8571,171.7714,2142.4857,1240.4
17 Dec 2021,176.2258,19.2903,298.6774,182.5484
18 Dec 2021,685.3958,44.9583,1267.5,702.8542
19 Dec 2021,887.7333,64.6,1613.8,914.5333
20 Dec 2021,122.0588,11.5882,199.6471,128.4706
21 Dec 2021,1037.4359,100.5897,1821,1058.9487
22 Dec 2021,412.9677,41.0645,725.5806,429.3226
23 Dec 2021,1488.4727,190.1455,2619.3636,1532.4364
24 Dec 2021,1922.26,229.26,3289.14,2014.1
25 Dec 2021,823.625,63.4375,1430.1875,891.0625
26 Dec 2021,993.4615,69.1538,1696.2308,1082
27 Dec 2021,351.5227,54.6818,632.1136,364.7955
28 Dec 2021,525.4444,94.8889,874.8889,551.7778
29 Dec 2021,198.8889,18.7222,363.3333,204.9444
30 Dec 2021,132.7059,17.3529,227.4118,139
31 Dec 2021,411.5556,43.7778,705.8889,431.8889
