category,Average NotsentBytes,Minimum NotsentBytes,Maximum NotsentBytes,Median NotsentBytes
1 Dec 2021,0,0,0,0
2 Dec 2021,9.5781,0,128.9375,0
3 Dec 2021,0,0,0,0
4 Dec 2021,0,0,0,0
5 Dec 2021,31.95,0,293.1,0
6 Dec 2021,2.5783,0,57.5422,0
7 Dec 2021,0.0323,0,1.3871,0
8 Dec 2021,0,0,0,0
9 Dec 2021,0,0,0,0
10 Dec 2021,2.6471,0,71.2353,0
11 Dec 2021,0,0,0,0
12 Dec 2021,3.1163,0,56.7209,1
13 Dec 2021,19.2093,0,245.2907,34.4884
14 Dec 2021,0.4754,0,19.1803,0
15 Dec 2021,2.5172,0,60.5517,0
16 Dec 2021,590.8,0,2541.5714,908.4286
17 Dec 2021,401.8065,0,1765.6452,298.0968
18 Dec 2021,0,0,0,0
19 Dec 2021,0,0,0,0
20 Dec 2021,17.6471,0,422.1176,0
21 Dec 2021,3.6923,0,151.8205,0
22 Dec 2021,346.4194,0,1134.9355,220.4839
23 Dec 2021,121.5636,0,728.0182,0
24 Dec 2021,57.64,0,375.08,35.14
25 Dec 2021,0,0,0,0
26 Dec 2021,0,0,0,0
27 Dec 2021,0,0,0,0
28 Dec 2021,0,0,0,0
29 Dec 2021,3.8333,0,129.8889,0
30 Dec 2021,0,0,0,0
31 Dec 2021,0,0,0,0
