category,Average RcvMSS,Minimum RcvMSS,Maximum RcvMSS,Median RcvMSS
1 Dec 2021,1341.8889,1211.2222,1344.8889,1344.8889
2 Dec 2021,1376.0625,1302.875,1378.0625,1378.0625
3 Dec 2021,1398.7083,1398.7083,1398.7083,1398.7083
4 Dec 2021,1335.175,1240,1340.25,1340.25
5 Dec 2021,1321.7,997.15,1340.25,1340.25
6 Dec 2021,1341.3012,1154.6988,1350.1205,1350.1205
7 Dec 2021,1375.9032,1276.129,1388.3226,1388.3226
8 Dec 2021,1333.8125,1098.525,1340.25,1340.25
9 Dec 2021,1353,1215.2414,1356.6207,1356.6207
10 Dec 2021,1346.7941,1076.1176,1364.4706,1364.1176
11 Dec 2021,1335.7143,1223.4286,1338,1338
12 Dec 2021,1333.2093,1207.4419,1338,1338
13 Dec 2021,1355.5233,1176.6512,1364.2093,1364.2093
14 Dec 2021,1396.7869,1356.4918,1398.4262,1398.4262
15 Dec 2021,1376.0345,1268,1378.6207,1378.6207
16 Dec 2021,1378.2857,1200.9714,1397.8286,1397.8286
17 Dec 2021,1357.3871,1053.2903,1370.4516,1370.2581
18 Dec 2021,1336.8333,1206.2083,1339.875,1339.875
19 Dec 2021,1334.3333,1177.6,1338,1338
20 Dec 2021,1346.9412,777.1765,1375.0588,1375.0588
21 Dec 2021,1345.1282,1126.1026,1352.3077,1352.3077
22 Dec 2021,1342.1935,1166.9032,1348,1348
23 Dec 2021,1370.0545,1242.2182,1373.4545,1373.4545
24 Dec 2021,1368.76,1257.96,1371.48,1371.48
25 Dec 2021,1337.0625,1287.875,1338,1338
26 Dec 2021,1333.6923,1152.9231,1338,1338
27 Dec 2021,1331.2045,1124.9091,1343.6364,1343.6364
28 Dec 2021,1340.4444,1166.6667,1344.8889,1344.8889
29 Dec 2021,1333.6111,1159.7778,1338,1338
30 Dec 2021,1327.7647,1007.7647,1338,1338
31 Dec 2021,1333.7778,1159.7778,1338,1338
