category,Average Sacked,Minimum Sacked,Maximum Sacked,Median Sacked
1 Dec 2021,7.3684,0,46.2632,2.8421
2 Dec 2021,15.5714,0,100.5397,12.0159
3 Dec 2021,23.1458,0,122.4375,22.1042
4 Dec 2021,1.525,0,14.2,1.4
5 Dec 2021,2.6,0,22.975,1.275
6 Dec 2021,6.7108,0,54.0361,7.5783
7 Dec 2021,6,0,47.1,2.3
8 Dec 2021,1.519,0,16.038,1.2532
9 Dec 2021,2.5,0,22.5333,2.0667
10 Dec 2021,3.6667,0,20.9167,3.7778
11 Dec 2021,2.3333,0,13,0.8333
12 Dec 2021,1.5714,0,14.1429,2.3095
13 Dec 2021,4.9375,0,36.325,4.725
14 Dec 2021,6.6066,0.0164,44.2623,10.0164
15 Dec 2021,4.3276,0,34.8966,3.3448
16 Dec 2021,4.4194,0.2581,29.5161,4.2903
17 Dec 2021,27.8966,0.4138,96.3793,20.8966
18 Dec 2021,1.8542,0,17.9375,3.0625
19 Dec 2021,1.0667,0,15.1333,0
20 Dec 2021,64.375,0.625,179.25,105.8125
21 Dec 2021,28.8421,0,114.9737,50.0526
22 Dec 2021,6.1724,0,49.931,9.7586
23 Dec 2021,6.6964,0,51.7857,8.5714
24 Dec 2021,10.46,0,67.26,10.94
25 Dec 2021,0.625,0,8.375,0
26 Dec 2021,0,0,0.4615,0
27 Dec 2021,3.1556,0,36.5111,9.0667
28 Dec 2021,4.5,0,33.6,2.5
29 Dec 2021,2.7222,0,27.2222,0.3333
30 Dec 2021,0.7647,0,11.7059,0.7059
31 Dec 2021,4,0,50.3333,2.2222
