category,Average AdvMSS,Minimum AdvMSS,Maximum AdvMSS,Median AdvMSS
1 Dec 2021,1448,1448,1448,1448
2 Dec 2021,1448,1448,1448,1448
3 Dec 2021,1448,1448,1448,1448
4 Dec 2021,1448,1448,1448,1448
5 Dec 2021,1448,1448,1448,1448
6 Dec 2021,1448,1448,1448,1448
7 Dec 2021,1448,1448,1448,1448
8 Dec 2021,1448,1448,1448,1448
9 Dec 2021,1448,1448,1448,1448
10 Dec 2021,1448,1448,1448,1448
11 Dec 2021,1448,1448,1448,1448
12 Dec 2021,1448,1448,1448,1448
13 Dec 2021,1448,1448,1448,1448
14 Dec 2021,1448,1448,1448,1448
15 Dec 2021,1448,1448,1448,1448
16 Dec 2021,1448,1448,1448,1448
17 Dec 2021,1448,1448,1448,1448
18 Dec 2021,1448,1448,1448,1448
19 Dec 2021,1448,1448,1448,1448
20 Dec 2021,1448,1448,1448,1448
21 Dec 2021,1448,1448,1448,1448
22 Dec 2021,1448,1448,1448,1448
23 Dec 2021,1448,1448,1448,1448
24 Dec 2021,1448,1448,1448,1448
25 Dec 2021,1448,1448,1448,1448
26 Dec 2021,1448,1448,1448,1448
27 Dec 2021,1448,1448,1448,1448
28 Dec 2021,1448,1448,1448,1448
29 Dec 2021,1448,1448,1448,1448
30 Dec 2021,1448,1448,1448,1448
31 Dec 2021,1448,1448,1448,1448
