category,Average Sacked,Minimum Sacked,Maximum Sacked,Median Sacked
1 Dec 2021,0,0,0,0
2 Dec 2021,0,0,0.125,0
3 Dec 2021,0,0,0.0417,0
4 Dec 2021,0,0,0.125,0
5 Dec 2021,0.025,0,0.4,0
6 Dec 2021,0,0,0.0964,0
7 Dec 2021,0,0,0.2903,0
8 Dec 2021,0,0,0.0125,0
9 Dec 2021,0,0,0,0
10 Dec 2021,0.0882,0,0.6471,0.2353
11 Dec 2021,0,0,0,0
12 Dec 2021,0.0465,0,0.3023,0.1163
13 Dec 2021,0.0465,0,0.314,0.0814
14 Dec 2021,0,0,0.0328,0
15 Dec 2021,0,0,0.0517,0
16 Dec 2021,0.0857,0,0.7714,0.1143
17 Dec 2021,0.129,0,1.3548,0.2258
18 Dec 2021,0,0,0,0
19 Dec 2021,0,0,0,0
20 Dec 2021,0.2941,0,3.8824,0.2353
21 Dec 2021,0.0256,0,0.5897,0
22 Dec 2021,0.0323,0,0.2903,0.0323
23 Dec 2021,0.0545,0,0.2545,0.0364
24 Dec 2021,0.02,0,0.28,0
25 Dec 2021,0,0,0,0
26 Dec 2021,0,0,0,0
27 Dec 2021,0,0,0,0
28 Dec 2021,0,0,0,0
29 Dec 2021,0,0,0,0
30 Dec 2021,0,0,0,0
31 Dec 2021,0,0,0,0
