category,Average DataSegsIn,Minimum DataSegsIn,Maximum DataSegsIn,Median DataSegsIn
1 Dec 2021,10.7895,3,19.8421,11.0526
2 Dec 2021,10.6508,3,19.5714,10.873
3 Dec 2021,9.9583,3,18.25,10.2083
4 Dec 2021,11.175,3,20.4,11.725
5 Dec 2021,10.65,3.075,19.5,11.2
6 Dec 2021,9.6867,3.0964,17.5181,10.0964
7 Dec 2021,10.2333,3,18.6667,10.5333
8 Dec 2021,10.8861,3.038,19.9241,11.443
9 Dec 2021,11.1667,3.0333,20.5333,11.8
10 Dec 2021,7.8889,3.0556,13.7222,8.4444
11 Dec 2021,8.1667,3.1667,14,8.6667
12 Dec 2021,9.5,3.0476,16.9286,9.9762
13 Dec 2021,10.575,3.0125,19.375,10.9375
14 Dec 2021,10.0164,3.0164,18.6557,10.3607
15 Dec 2021,9.7586,3.0172,17.8966,9.931
16 Dec 2021,8.129,3.0645,14.2903,8.3226
17 Dec 2021,4.8276,3.1379,7.5172,4.8276
18 Dec 2021,11.0417,3,20.3542,11.3125
19 Dec 2021,11.1333,3,20.4667,11.6667
20 Dec 2021,6.0625,3,10.6875,6.3125
21 Dec 2021,9.9737,3.0263,18.3421,10.2895
22 Dec 2021,10.3448,3.0345,19.1724,10.8966
23 Dec 2021,10.0714,3.0536,18.3393,10.5357
24 Dec 2021,9.64,3,17.82,9.98
25 Dec 2021,11.8125,3.0625,21.8125,12.5
26 Dec 2021,11.3846,3.0769,21.0769,11.9231
27 Dec 2021,10.8444,3.0222,19.9778,11.3111
28 Dec 2021,10,3.2,18.3,10.2
29 Dec 2021,10.7778,3,20.3333,11.1667
30 Dec 2021,11.2941,3.0588,20.7647,11.6471
31 Dec 2021,11,3,19.8889,11.3333
